sub,bone,n_iter,rmsd,h_before_rmsd,h_after_rmsd,h_diff_rmsd,h_ratio_rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,h_before_mean,h_before_median,h_before_std,h_before_max,h_before_99,h_before_95,h_after_mean,h_after_median,h_after_std,h_after_max,h_after_99,h_after_95,h_diff_mean,h_diff_median,h_diff_std,h_diff_max,h_diff_99,h_diff_95,h_ratio_mean,h_ratio_median,h_ratio_std,h_ratio_max,h_ratio_99,h_ratio_95,before_points,before_cells,before_A,after_points,after_cells,after_A
14818R,tpm,25,0.0007342189894429548,0.466063069937961,0.4657174154595862,0.0007256373750753312,0.0007256373750753312,0.0004700710402029215,0.00029862560088042187,0.0005640130686616908,0.0069371143471926525,0.0028548252541003437,0.0014900253853982867,0.44632215160930816,0.42107093349122776,0.13420626715185266,0.7773951296297684,0.7241168425053678,0.6852172767803196,0.44602357765632333,0.42076679699550856,0.13399880311782827,0.777544653193285,0.7241624333897885,0.684301767644281,0.00029857395298481845,0.00017022670364352788,0.0006613646457932538,0.007856119144580731,0.002775036368990279,0.001498472877441597,0.0005840956822378649,0.00041172665201454496,0.0013265630953915994,0.014109086466740342,0.004927261208499335,0.0029076463625586657,2973,5721,76.58298784423985,2973,5721,76.5467846905182
14818R,tpm,50,0.0014014604505718296,0.4669136066262887,0.4662334142361769,0.0013912033948157777,0.0013912033948157777,0.0009084561226001169,0.0005838633259885644,0.0010671451952885124,0.012261842426542845,0.0053625119887228114,0.0029224716284587705,0.44705806939257325,0.4219631599428691,0.1347122809685661,0.7774274771462569,0.7249509776394184,0.6870571227700748,0.446464337098724,0.4215337198220119,0.13432495021149093,0.7777985189348215,0.7247958874248828,0.6852908612088586,0.0005937322938492409,0.00036536483931853825,0.0012581450031643661,0.012456610151234448,0.005342131023434391,0.002849593693785487,0.0011716510387561616,0.0008694333799933094,0.0025364639072070895,0.022370198781837235,0.009552745531933348,0.005535777213696753,2973,5721,76.58298784423985,2973,5721,76.52280285857734
14818R,tpm,100,0.002566966544913884,0.46721945895533307,0.46590079941303064,0.002589084957504116,0.002589084957504116,0.0016954793698426528,0.00111081119197132,0.0019273471273086964,0.020171859718362918,0.00963167230196088,0.005239370041878825,0.4473827578417728,0.4233163906232835,0.13469480618199003,0.7781349605343162,0.7245437271300612,0.686221430572272,0.4462370362592185,0.4219361422048249,0.13392558517434194,0.7785505151733952,0.7249129666306704,0.6831370545191021,0.0011457215825542559,0.0006946950677436392,0.002321784437118025,0.021439752143473156,0.009556697913817348,0.0053699369688295735,0.0022365767958466578,0.001611571191624825,0.004681540412506603,0.03857669786275153,0.01673713688205336,0.010525068474970752,2973,5721,76.58298784423985,2973,5721,76.49562835797396
14818R,tpm,200,0.004597996339860013,0.4684430286161543,0.46591740781598506,0.004647730409336887,0.004647730409336887,0.0031565948316019565,0.0021754669845237503,0.0033432737564354337,0.03208946819286154,0.01663250772470975,0.009515681677271421,0.4483839568806151,0.4242058229020852,0.13561230870078797,0.77651325336546,0.7280683155520445,0.689062392684927,0.4461855995153873,0.42240441217897495,0.13415454405670124,0.7765065162578365,0.7289628823436751,0.682835282635202,0.002198357365227859,0.0014123754435682312,0.004094950897461806,0.03251588965127106,0.01722711005751238,0.009543816516869898,0.004276993401253815,0.0033536973697225426,0.008275253605760376,0.05842912273994049,0.0295781778976476,0.01862216975539724,2973,5721,76.58298784423985,2973,5721,76.48012993941953
14818R,tpm,400,0.008121745421762042,0.465696000941542,0.4609103437548566,0.008147620760790151,0.008147620760790151,0.005760845048795679,0.004162794013886638,0.005724981486404912,0.043679761328815014,0.029158008793345378,0.016920847546568776,0.44571104881927187,0.419794580886371,0.13496083229355607,0.7780104988637097,0.7278478245633377,0.6876827673143301,0.4415112919266037,0.4161980529401824,0.13231071038098666,0.7766639750548093,0.7301588826777485,0.677110515419908,0.004199756892668094,0.0031026414270166613,0.006981816819721462,0.04384845270264215,0.029647968789345135,0.01687931535845492,0.008270437731985008,0.007362176104047262,0.014390435473238634,0.0787090605159815,0.050033703790944205,0.03300965611687452,2973,5721,76.58298784423985,2973,5721,76.49898793267975
14818R,tpm,800,0.014330123519369386,0.46873262388253106,0.4595026667547707,0.01427347180776514,0.01427347180776514,0.010503218860919988,0.007880058122393774,0.00974858110906394,0.0628619458121175,0.048280644671362755,0.0300741763980027,0.4487877716817746,0.42443815144862496,0.13527678544639354,0.7766828094884661,0.72617013499998,0.6878111075093472,0.44058815854199157,0.4157938650334607,0.13047902247994778,0.7726152490843131,0.727935510179384,0.6691786031935149,0.008199613139783055,0.006583742977325335,0.011683250481135948,0.06348783902334809,0.047848233313592614,0.030296196779910686,0.01621723577995476,0.01551790794043268,0.024277420573418636,0.12264651817542473,0.0833840270880382,0.057206205392179126,2973,5721,76.58298784423985,2973,5721,76.57964483584517
14818R,tpm,1600,0.02555623038501389,0.46660163830347584,0.4486109788610813,0.025365030043607358,0.025365030043607358,0.019240693985588076,0.015227959827408332,0.016820125042485926,0.10861479055657228,0.076875573826108,0.05468187364186497,0.4466613756516688,0.4212568021230544,0.1349470428295725,0.7756902034902,0.724821586594199,0.68744896522975,0.4304775684915947,0.40636938875784245,0.1262571715993274,0.7652892533156205,0.7230829519031026,0.656132172792499,0.016183807160074185,0.013863848138524343,0.019531234853911197,0.10449060274885946,0.07495700098325292,0.053673436885981786,0.032443816553016064,0.03221410941871662,0.04093836864471141,0.25712840854982244,0.13807964997071925,0.09971701946205877,2973,5721,76.58298784423985,2973,5721,76.74966380070194
14818R,mc1,25,0.0005076632332489293,0.47867941746004783,0.47852773024077605,0.0005053231075432021,0.0005053231075432021,0.0003699319540525783,0.0002729572128176087,0.00034766694948412604,0.0035545524626285473,0.001685717700277318,0.0010446259016228222,0.45846964267982004,0.44009025841141025,0.1376211155343863,0.7409150576791371,0.7052843200166367,0.683125886334508,0.45833387006877674,0.440205629515819,0.1375458183921508,0.7407591393464126,0.7046935509928225,0.6828408950258372,0.00013577261104319885,7.87133114270866e-05,0.00048674145201290476,0.004030228999653884,0.0016556926344674743,0.0009978924079423299,0.00027864192985296724,0.00017834476725748399,0.0010879912568973584,0.007058746585159889,0.0035315799727927387,0.0021550851981269365,2903,5560,74.041891412791,2903,5560,74.02782112305388
14818R,mc1,50,0.0009716768421386625,0.4784309331729268,0.4781352762535616,0.0009671663116604749,0.0009671663116604749,0.0007163788756951782,0.0005371954721657001,0.0006564732987763294,0.006307316738819809,0.0031798211414853397,0.001994555335852249,0.4580959311405707,0.4374300503350117,0.13800099887019343,0.7446724171158884,0.7044117232459477,0.6835389799437657,0.45783509462490146,0.43753791947360626,0.1378418243055323,0.7442578668794875,0.7032177165700021,0.6830755426351819,0.000260836515669227,0.00015139944390865634,0.0009313296873312177,0.006148814484250753,0.003188679310479958,0.0019377375397051477,0.0005267243616711452,0.00033244995467521287,0.002102511202282918,0.012431859182141581,0.006920166260808005,0.004199489881603334,2903,5560,74.041891412791,2903,5560,74.02046474668516
14818R,mc1,100,0.0018009818525527653,0.4773983339298807,0.4768218688141345,0.0017847241860179334,0.0017847241860179334,0.0013527935337972305,0.0010535791037096587,0.0011889008739759553,0.009851309597855623,0.0057166385353243105,0.003682490588757318,0.4568205782685027,0.43648748596725473,0.13865110352772758,0.7421338407040731,0.7043267660514287,0.6836079959175323,0.4563088327164593,0.43664102972020497,0.13835224524504872,0.7408974542580983,0.702174046072837,0.6827471370687908,0.0005117455520435252,0.00034985225867864567,0.0017097827084518787,0.009194647540943013,0.005585551802796208,0.0035640817523003633,0.0010413309497301687,0.0007933633097287694,0.003969108039156983,0.022896769265611464,0.012752020281018362,0.007778079743661851,2903,5560,74.041891412791,2903,5560,74.0173303244771
14818R,mc1,200,0.0032988901893146413,0.4785315887486473,0.4774169604536674,0.003305906183989299,0.003305906183989299,0.0025308183524635434,0.0020499460861358857,0.002116042284074235,0.017145432406628316,0.010037363136845607,0.00667889175672482,0.4580521669873349,0.4383234326001638,0.13849438164962186,0.744294982265887,0.7036781684624696,0.6836358675074704,0.4570358389434863,0.4390506216688961,0.13800433344660662,0.7411030283939369,0.6997875854813723,0.6815000051422291,0.001016328043848635,0.0007528799273154585,0.0031458056209221663,0.015490373820188086,0.010333577275860414,0.006575248453881314,0.002122663369859985,0.001699884817023939,0.007496706225759324,0.047408434611500745,0.024785707233655828,0.014597767773861658,2903,5560,74.041891412791,2903,5560,74.03211418427574
14818R,mc1,400,0.00606016566781282,0.4781697154813951,0.475959446595097,0.006150060642645125,0.006150060642645125,0.0047165077807165305,0.003930737622073188,0.0038052808405921418,0.03475893835813603,0.017564771789830406,0.011950762852935393,0.4577115612947136,0.43805842821487406,0.13837052959613202,0.7448231817837226,0.7025303505232121,0.6833989756816545,0.4556395668410935,0.4390116939830809,0.13758626360204598,0.7406109199419032,0.6947469652624099,0.6795734377637516,0.0020719944536200263,0.001642088406301978,0.005790516807019941,0.0338906734541784,0.0183222773476755,0.012046614223804347,0.004440370286501508,0.00361871903317206,0.014218081104538188,0.10314659960831156,0.050146793636655466,0.027163078793927563,2903,5560,74.041891412791,2903,5560,74.08539154898929
