sub,bone,n_iter,rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,orig_points,orig_cells,orig_A,orig_V,orig_L_edge,smooth_points,smooth_cells,smooth_A,smooth_V,smooth_L_edge
50037L,tpm,0,1.9039363517910974e-15,2.545853705803209e-16,0.0,1.8868386048515316e-15,2.0097183471152322e-14,1.4210854715202004e-14,0.0,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1234.525594119521,2907.729113041409,0.3688276
50037L,tpm,10,0.0067786603062868905,0.0045532735371270824,0.003032925037499826,0.005021746274367883,0.09078107831548815,0.024390449122539824,0.014044570305239203,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1228.5794222979928,2908.21514896317,0.35518983
50037L,tpm,20,0.01823691008709065,0.012627129922667773,0.008805665427882385,0.013158285581362679,0.18666709558937256,0.06328389585466203,0.03728485839544952,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1221.0411901383497,2908.9809855470285,0.34482118
50037L,tpm,30,0.025667992255019322,0.01828860731712352,0.013232718077108952,0.018010348936202982,0.2691769195551271,0.08410697530597255,0.052669402576007336,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1215.9517331000905,2909.170578525513,0.3423297
50037L,tpm,40,0.0311890758711068,0.022595398528905086,0.0166827249385968,0.021498986464798992,0.2707540213397791,0.09962362945538222,0.06365968776320856,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1212.7457815990397,2909.1490177049836,0.3412154
50037L,tpm,50,0.035271437999391184,0.02589435822219638,0.019514692342827072,0.023949040707415974,0.3093607029432751,0.1126289606533036,0.07172359737369517,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1210.595994069634,2909.1249894995462,0.34055
50037L,tpm,60,0.03880433979003741,0.028688973584885084,0.021854671234700293,0.026128903176108376,0.3203397363164671,0.12272991778911449,0.07857899308003033,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1208.9163945414218,2909.040413005354,0.34005818
50037L,tpm,70,0.041732352295978846,0.031005441482768566,0.023809648425672493,0.02793298814331014,0.3310817063784524,0.1298240877911947,0.0841096615595785,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1207.6768329239412,2908.963150560157,0.33970532
50037L,tpm,80,0.04423093963566379,0.032946753120909396,0.025455099311633082,0.02951080276514993,0.3580577378973571,0.1371247147843047,0.08892896386985272,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1206.6992613394982,2908.8922367405116,0.3394358
50037L,tpm,90,0.04595508753715012,0.03432736564558046,0.026505783325047244,0.030553265592760337,0.3623644560681733,0.1415245601319399,0.09268958091476519,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1205.9702516629345,2908.814023072713,0.33924007
50037L,tpm,100,0.04755205478409692,0.035672896928740226,0.02775737480796062,0.03144268339218571,0.38018676574406496,0.14637277766523285,0.09534816238796547,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1205.3279848265793,2908.762825588031,0.3390728
50037L,tpm,150,0.053245917205535204,0.040094307159991766,0.03138913744044619,0.03503675544936978,0.39884503590055226,0.16030560122492837,0.10688851625285535,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1203.4447571775768,2908.5288817324563,0.33860365
50037L,tpm,200,0.05609796866057754,0.04259950412883982,0.03360094789989449,0.03650019638056895,0.3927601203698005,0.16719188628121748,0.11224176222629993,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1202.4428683319456,2908.396138621379,0.3383732
50037L,tpm,250,0.05807516650430221,0.044295848309884076,0.035155426234883894,0.03755799231868186,0.42020339932040296,0.17023757762837236,0.11603424107461176,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1201.763225349239,2908.2963674265775,0.3382329
50037L,tpm,300,0.059432889140257475,0.04535255890149415,0.03595493621187376,0.038411114441586285,0.4252692777882907,0.17362950733330648,0.11885698729992415,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1201.3103086956237,2908.233025083382,0.33814588
50037L,tpm,350,0.060006580056150116,0.04595448584055786,0.0365587438201747,0.03858723728339618,0.42493823458928237,0.17345057592785829,0.11986892040250406,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1200.9743296701436,2908.177268266653,0.33808213
50037L,tpm,400,0.060617461752244875,0.04647519720032211,0.037122733192557614,0.038916997757741316,0.4411032307119114,0.1752723585225174,0.12096810177985481,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1200.6857091595298,2908.1492381127446,0.3380255
50037L,tpm,450,0.06125982913908987,0.04697984098188657,0.03758441021673237,0.039314898034550926,0.42685504739094726,0.17761737833223343,0.12238968562673373,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1200.4837405379867,2908.1301797874435,0.33798486
50037L,tpm,500,0.06174081633778523,0.047340371555916666,0.03781363883011439,0.039633541640936965,0.45980466014187693,0.17802797903705886,0.12313556073733045,13134,26264,1234.525594119521,2907.729113041409,0.3688276,13134,26264,1200.313892344378,2908.1243584939934,0.33794978
50037L,mc1,0,2.548759480842868e-15,5.281212105287394e-16,0.0,2.4934439793538703e-15,2.842170943040401e-14,1.4210854715202004e-14,0.0,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2378.3711646042925,6412.257811557158,0.3621923
50037L,mc1,10,0.005050103517442533,0.0033322100983486725,0.002164854599325713,0.0037947228353792284,0.06549572790101618,0.018101699369389074,0.010329677786874205,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2371.8808885974886,6412.788043693207,0.34925753
50037L,mc1,20,0.013366211882057796,0.009122596315262958,0.006224202815678143,0.00976902536309604,0.15420223720078446,0.04649015053740229,0.027518710574206497,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2363.741662100988,6413.584645673351,0.3399253
50037L,mc1,30,0.018934152257650903,0.013226901508167023,0.009324490690093184,0.013548106812730545,0.2049140324624205,0.06508300310304584,0.03899012161632924,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2358.0001792405405,6413.505804387537,0.33802095
50037L,mc1,40,0.02318971036850661,0.016396463342376873,0.01171539218602224,0.01639873948928132,0.244246185777113,0.0783399818697699,0.04791257845714142,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2354.22811192267,6413.236490468719,0.3372277
50037L,mc1,50,0.026432402500482805,0.01886202479232481,0.013626156555932262,0.018517449140776757,0.2435173310448438,0.08864599438746146,0.05489387399782711,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2351.721364105333,6413.158601908744,0.33677754
50037L,mc1,60,0.029269952234950655,0.021016315213221986,0.015258021757940077,0.020372643389967516,0.2628998174604088,0.09584108231302159,0.060587560072537405,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2349.7635371746405,6413.04079996373,0.33646068
50037L,mc1,70,0.031474431423815744,0.022704340758551295,0.0165762075531281,0.021797998627673745,0.330140232353105,0.10304554754453298,0.06524130250806506,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2348.3560400038978,6413.017117321392,0.33624166
50037L,mc1,80,0.03352464855645648,0.024249519540599982,0.017748431841965607,0.023148711905503067,0.31443499610234066,0.10939195392634245,0.06952303355862237,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2347.2580502524006,6412.979126276795,0.33607537
50037L,mc1,90,0.03505224558503727,0.02540156131411592,0.018604027197607488,0.024154101170587458,0.3682086581350429,0.11341174250349773,0.07269597109579147,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2346.450502602853,6412.938693317002,0.33595434
50037L,mc1,100,0.03655103038799924,0.026493108761945647,0.019499681220772738,0.025181203516753577,0.361982709128682,0.11930779814868905,0.07545814929349068,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2345.7175259032438,6412.914190105833,0.33584774
50037L,mc1,150,0.040912492196196436,0.029814133892276305,0.022044683076077813,0.02801694911936801,0.43839385656630325,0.13153940830693917,0.08491598319018719,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2343.337598220951,6412.765803886894,0.33552626
50037L,mc1,200,0.04317009325884672,0.031394826221022964,0.02293845786522577,0.029631433285099318,0.48215425744100476,0.13693219161837197,0.09019973178911153,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2341.8777368056417,6412.687096940518,0.33534995
50037L,mc1,250,0.04513758637262674,0.03285693914032685,0.024018200734095285,0.030948719745333534,0.4799823340939476,0.14282558624616493,0.09439970641711559,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2340.870970639531,6412.619096063777,0.33523178
50037L,mc1,300,0.04629731488387201,0.03375100075815274,0.024751976336893924,0.03169087113475377,0.47937042152134546,0.1455153983958019,0.09653780997394369,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2340.2216445114736,6412.556518485643,0.33515477
50037L,mc1,350,0.047365735002039625,0.034607501587007365,0.02542992694598501,0.03233935197539871,0.4939716990217231,0.14945634057849508,0.09893048719918547,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2339.759995204957,6412.505007963272,0.33509916
50037L,mc1,400,0.04837413503878356,0.03544809525780506,0.026277438842517205,0.03291640143369329,0.47760712548934275,0.15221027373652957,0.10086070060502224,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2339.3665770382772,6412.4408220250225,0.3350522
50037L,mc1,450,0.04887510591438554,0.03581472139390964,0.026570304383120292,0.03325780674697349,0.4974966991696403,0.1531317488517493,0.10188112418200568,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2339.104244223117,6412.417028552441,0.33502075
50037L,mc1,500,0.04928360582547485,0.03620839862321578,0.02683676309811235,0.0334339000462567,0.45476282788912886,0.15414877125514717,0.1027586714438655,25836,51668,2378.3711646042925,6412.257811557158,0.3621923,25836,51668,2338.89173863115,6412.389811422988,0.33499548
