sub,bone,iters,rmsd,d_mean,d_95,d_max
15358R,mc1,4,0.004388521868380743,0.0022335778254789227,0.009281332797139795,0.08494535580571455
15358R,mc1,8,0.004153914914018437,0.0021457435134817453,0.008819635742191174,0.07767993457403362
15358R,mc1,16,0.0038151111119250924,0.002013063495999491,0.008121429665563456,0.06787006397489563
15358R,mc1,32,0.0033248187009687377,0.0018103372258685656,0.007241705756547537,0.04979548519387165
15358R,mc1,64,0.0025272206009793094,0.0013901003655352384,0.005602115921872888,0.028794137436045954
14548R,tpm,1,0.005292021075656863,0.0024602927759070736,0.010451915561807931,0.11867172307872281
14548R,tpm,2,0.005245270416668665,0.002452915725495068,0.010502056489354154,0.09968808786790656
14548R,tpm,4,0.005186907294889091,0.0024401507943847553,0.010425427235774559,0.06374027994274978
14548R,tpm,8,0.005178099696470036,0.002442371398725655,0.010347075713727352,0.06900097198419675
14548R,tpm,16,0.0051410615000770645,0.0024535866979657653,0.010420960729336964,0.06711709507634332
14548R,tpm,32,0.004998280314800613,0.002451238301601899,0.010367254250762471,0.06888216783169443
14548R,tpm,64,0.004284967622755241,0.0021720716199155003,0.009450450155087288,0.05157520417280811
14548R,mc1,1,0.005009985050151328,0.0027049616936459264,0.010707097044434292,0.07770702903390304
14548R,mc1,2,0.004683171135441502,0.0025628288265460465,0.010039860804870078,0.0823295208493617
14548R,mc1,4,0.004426671585511656,0.0024465714705188954,0.009405835905260406,0.08150572242778255
14548R,mc1,8,0.004138293745908139,0.0023223255211168984,0.00881697394346684,0.07609705784815089
14548R,mc1,16,0.003786742540823202,0.0021650982538281498,0.008052153378878126,0.06228883003888981
14548R,mc1,32,0.0033777120776435836,0.001977350666449379,0.007285534901834344,0.05798345475415919
14548R,mc1,64,0.002717595125065177,0.0015783419572306268,0.006006652844495386,0.03174722814735349
15285R,tpm,1,0.0045593410677812396,0.0020967274067739644,0.009250724743264396,0.06339595642376442
