sub,bone,run_id,orig_rmsdi,orig_di_mean,orig_di_median,orig_di_std,orig_di_min,orig_di_max,orig_di_99,orig_di_95,orig_rmsdo,orig_do_mean,orig_do_median,orig_do_std,orig_do_min,orig_do_max,orig_do_99,orig_do_95,orig_h_rmsd,orig_h_mean,orig_h_median,orig_h_std,orig_h_min,orig_h_max,orig_h_99,orig_h_95,smooth_rmsdi,smooth_di_mean,smooth_di_median,smooth_di_std,smooth_di_min,smooth_di_max,smooth_di_99,smooth_di_95,smooth_rmsdo,smooth_do_mean,smooth_do_median,smooth_do_std,smooth_do_min,smooth_do_max,smooth_do_99,smooth_do_95,smooth_h_rmsd,smooth_h_mean,smooth_h_median,smooth_h_std,smooth_h_min,smooth_h_max,smooth_h_99,smooth_h_95,remesh2d_rmsdi,remesh2d_di_mean,remesh2d_di_median,remesh2d_di_std,remesh2d_di_min,remesh2d_di_max,remesh2d_di_99,remesh2d_di_95,remesh2d_rmsdo,remesh2d_do_mean,remesh2d_do_median,remesh2d_do_std,remesh2d_do_min,remesh2d_do_max,remesh2d_do_99,remesh2d_do_95,remesh2d_h_rmsd,remesh2d_h_mean,remesh2d_h_median,remesh2d_h_std,remesh2d_h_min,remesh2d_h_max,remesh2d_h_99,remesh2d_h_95,remesh3d_h_rmsd,remesh3d_h_mean,remesh3d_h_median,remesh3d_h_std,remesh3d_h_min,remesh3d_h_max,remesh3d_h_99,remesh3d_h_95
14548R,tpm,0a,0.0037654568024103547,0.0027583917643660702,0.0020445211776256543,0.002563189381433969,5.0867370446370455e-08,0.034892568989576135,0.01185923003163629,0.007946518401997674,0.030069838661844983,0.02211661954042502,0.015453841156575217,0.02037278422929663,7.249686084543708e-07,0.13387093970081293,0.08437788971088948,0.0633669171804337,0.4591750713907523,0.4496146120651327,0.4407619266838999,0.09321183832659202,0.25170115650763353,0.7647572389769204,0.6962444753995253,0.6244098228633602,0.0011353158963178767,0.0007956492416544457,0.0005494351520270357,0.0008098669450513271,1.2930926227491442e-08,0.012596088445930817,0.0038010624728303396,0.0023812701920411846,0.007039182350884681,0.005038099038761805,0.003407737130940604,0.004916060032651531,2.222828024950715e-07,0.046547402306826614,0.02139421006553177,0.015209068956617637,0.4558126336092144,0.44644488572286134,0.43748843310478847,0.09193541738453735,0.24768891687565006,0.7587973938521607,0.6914629862817482,0.619482908310539,0.0008513751898433726,0.0005650390702987349,0.00035773849701171024,0.0006368442218602443,1.1531343080287466e-08,0.008932851869407437,0.0030133515327697524,0.0018024455354812639,0.0047733335662779675,0.0032821130481568376,0.0020853581669409878,0.003465897758745138,3.562312587474552e-08,0.03767100552007872,0.015409052366044174,0.010390732037646672,0.45719529568948086,0.4478709138406893,0.4388395704991076,0.09186502564141413,0.2459174982324597,0.7565731703598463,0.691523632122034,0.6211756972906012,0.4535187970916135,0.4444865300023396,0.43764682952679124,0.09006122340887582,0.2504065121493183,0.7337656460830188,0.6789393739817757,0.6127971990236702
14548R,tpm,1a,0.003754400597419992,0.002750867782178803,0.002034621605776825,0.0025550440878541153,2.7473181378199e-08,0.024085994139789953,0.012004197304980594,0.007984211917778712,0.029746097646532403,0.02191455319914307,0.01543764080366959,0.02011424080791937,8.761288491353071e-07,0.1310335177597576,0.08361563980949584,0.0630305721517986,0.45820292911287686,0.44877820205847563,0.44110732642341155,0.09245566291353909,0.2526881225769462,0.7645287480832377,0.6950466887628682,0.6207500759057136,0.0011491747947418383,0.0008047237150367413,0.0005550902765256525,0.0008203794556956017,4.767549974325972e-10,0.011938936108418933,0.003839453489579721,0.0024155483063081967,0.007044235047014759,0.005046650237133943,0.0034089011067657323,0.004914526302872632,7.709353091008338e-08,0.04310535195938602,0.021466738392821594,0.01524489799577085,0.45656132711166625,0.4472492679759933,0.4386792727877612,0.0917406001119683,0.24792374454338229,0.7596991544965187,0.6875749095399065,0.6200350201337661,0.0008557561611432547,0.0005687785078582408,0.00036263101826722603,0.000639382214589359,1.4193355440974884e-08,0.008367955018239207,0.00304972090087621,0.001809877327395428,0.004795695753627129,0.0032912895455730245,0.0020872508086235983,0.0034879952535172678,1.4826082853991526e-07,0.038805255238680114,0.015377846373020806,0.010440171715513,0.4561548047953835,0.44681069076718777,0.4389048511589375,0.09185538935774545,0.24696960380830368,0.7568726058571794,0.687634986643107,0.6184564740739434,0.453879964632832,0.444939424680497,0.43776520371246797,0.08964335257055689,0.25110072004801903,0.7320367387326541,0.6771925773339393,0.6108945864880564
14548R,tpm,2a,0.0037420855066613713,0.0027475129053101126,0.002049110969556037,0.0025405465503153995,7.53828710518586e-08,0.02518935056493287,0.011938934005167013,0.007822321147105406,0.030015311965761182,0.022195118102767745,0.015806256858065228,0.020206327840707673,1.7869043539167262e-06,0.13737652434981915,0.08432906569606648,0.06296764612807176,0.45828207812898253,0.44875211984759933,0.44021285693845,0.09297310399521252,0.2519306819629288,0.7629292870629508,0.695564674018736,0.6220242502547912,0.0011438798360794344,0.0007964142115356088,0.0005479946737693819,0.0008210879874003933,6.165005614514658e-09,0.00988530863319676,0.003878169097073806,0.0024091181521374355,0.007058560436981588,0.005062155200385151,0.003413419407884303,0.004919132054512796,2.1476105319928327e-07,0.04682804006140298,0.021345856732244897,0.015277173780445893,0.4558853588278568,0.4464176691603778,0.43711297890234857,0.09242686327588619,0.2477474401218913,0.7593044402591979,0.6928916027476508,0.6188747121601794,0.0008552711923357557,0.0005674477845924774,0.0003598424247650859,0.000639915482075965,2.962937600423629e-09,0.007290332911593562,0.0030276199010441794,0.0018110871326567862,0.004751340452645964,0.0032783631352554863,0.0021026037791962047,0.003439123616613363,4.381667022337421e-08,0.045535335491645436,0.015045880629456616,0.010296746762767796,0.4560087898970313,0.4466214061518373,0.43825623007608705,0.09205072531115856,0.24767506365350062,0.7549967435550465,0.6912784204265561,0.6191296913028623,0.4524902564451394,0.4435987480747487,0.43683502080683256,0.08926131796194597,0.25117031477520385,0.7324726550892682,0.6818787380374535,0.6086556774778593
14548R,tpm,3a,0.0037698568402881783,0.0027505037162669148,0.0020400438323358995,0.002578090359756511,2.2898924880304128e-08,0.02860776280283268,0.011788901607199993,0.007855468492264855,0.029952370348648914,0.022083196147298843,0.015396551602706705,0.020235536499498805,1.353856536687388e-07,0.13866331271638685,0.08394114885817495,0.06364011207701697,0.45843144966256094,0.44896747105424,0.44083738960236274,0.09266932596537662,0.25379627450035225,0.7610931255335656,0.6978580726751555,0.6224609987082985,0.0011145107189567565,0.000779047621831006,0.0005456150892739367,0.0007970062393663929,6.805376173638105e-08,0.009138949421009963,0.003847669056301402,0.0023119510248539336,0.006932986501881286,0.004978670215253153,0.0033522464174423816,0.00482484660098321,1.0657996527986256e-07,0.042807049027028955,0.021102314846296186,0.014924310492168103,0.4587451246240268,0.4491510849074097,0.43957076666457723,0.09332948244156704,0.2479488752575612,0.7596357154163061,0.6955929895652602,0.6261355064091056,0.0008338727324502855,0.0005542976299099813,0.00035707719250747743,0.0006229750166742506,1.1771834716436831e-08,0.007298258871862114,0.0029667714148556112,0.0017523446090348233,0.004709678071069021,0.0032352750157066835,0.0020652469611530024,0.003422581351239518,4.412524098357519e-08,0.04009269247922308,0.014994227133269925,0.010288908310496806,0.45609376738143304,0.44681065931628655,0.4394269453416896,0.09155194899910102,0.24819045743231924,0.7571725798223718,0.6875333756909878,0.6180416375216239,0.4544673716656085,0.4456860381340579,0.4384984185742242,0.08890752117235894,0.25177810291952196,0.7476728305132442,0.6850830601774149,0.6087999878827508
14548R,tpm,4a,0.0037839292965778596,0.0027596881983420617,0.0020361665848775503,0.0025888688590640823,9.977175121663639e-09,0.03582660316572214,0.011839762652789923,0.007871482119114462,0.029995738335564567,0.022133097949583173,0.015482949914517275,0.020245253603000748,6.660244151899083e-07,0.13157013569313825,0.08386844353491783,0.06321243689273645,0.4575403953489501,0.4480023526820527,0.4395794489724635,0.092936028360476,0.2538165639856679,0.7625871066415392,0.6964907329137502,0.6214045139558021,0.0011069191396239104,0.0007777628501899069,0.0005437078446119837,0.0007876261362665734,1.949032621092214e-09,0.011455729428651919,0.0038015593750304754,0.0022974684897163226,0.006897645761566696,0.00495161384850401,0.0033401621439969878,0.004801982647549065,3.0560438969435406e-07,0.041657623442117285,0.020853011809547312,0.01496270233142257,0.4569787920999612,0.44758300277484303,0.43906390316848887,0.09219041195370777,0.24668355035846973,0.7609778197197486,0.689637771330149,0.621687259964,0.0008545462124200731,0.0005638060690041182,0.0003576902514435277,0.0006421619310700504,5.599470996680438e-09,0.007711087261856235,0.0031036813864309064,0.0017709448452350252,0.004740947888340106,0.0032621545923325087,0.002099892519396325,0.0034401939328590797,4.446396402611784e-08,0.03814800836797418,0.015442125611598191,0.010326734987020731,0.4558083719336158,0.4464376113161182,0.4383028245021923,0.09194961189223162,0.2472525630177007,0.7546987815551445,0.6891760710919445,0.6179362660378687,0.452876969069855,0.443912873492222,0.4369166953634758,0.08965996800008828,0.25026034519491086,0.7462498468563987,0.6778803816880298,0.6107176186105887
14548R,tpm,5a,0.0037395555837616175,0.0027240988853463647,0.0020305911757395544,0.002561944813398092,3.798659702836455e-08,0.035676622566091644,0.0119412790586455,0.007812596329970644,0.029919834712965717,0.022067189447026306,0.015343920267645444,0.02020484246808767,5.065036031009413e-08,0.1364752402649091,0.08389454617270506,0.06286270182932953,0.45828862097295986,0.44876587400680473,0.4400529911966385,0.09293896083024551,0.2527624688795252,0.7638713760233434,0.6963237554060564,0.6207117936269225,0.001116061129887223,0.0007798142290167124,0.0005424865564510801,0.0007984248329481088,1.3359800043489708e-08,0.00829679821099504,0.003911425784558518,0.0023188979276779643,0.006903821996425766,0.0049517396715671015,0.0033418849828990584,0.004810720567998184,1.3443898822863668e-07,0.045863267425203004,0.020630548695938715,0.014971109418940686,0.45700799965611155,0.44760921056335917,0.4392596139193673,0.09220795176408025,0.2469716977664893,0.7595235752358189,0.69707666730248,0.6201709927744194,0.0008465034717802778,0.000558337020179191,0.00035595324058520795,0.0006362608738823136,4.14147102158551e-09,0.008112534455655523,0.0030204220049658793,0.001763863641847991,0.004726050098714364,0.003260333345661764,0.0020962755591452603,0.0034213704872059695,6.309951268354274e-08,0.037794326172810214,0.015027993259605408,0.010299649668073613,0.4564613075989482,0.44705049010388936,0.43915045568833877,0.09221054512805965,0.24547838841114333,0.7570368748912656,0.6890248640249874,0.6194995026621852,0.45500342895026075,0.4459469685573752,0.43914132752843965,0.09032951672062872,0.25175474775184536,0.7486229108232719,0.682016079925786,0.6129168946791758
14548R,tpm,6a,0.0037620537330576684,0.002755153536733113,0.0020548384066361217,0.002561674702111913,1.649489683382998e-07,0.030411177622084777,0.012030314252164977,0.007916600490506456,0.029679260108943024,0.021870878093744345,0.015217052640494316,0.0200629801381268,3.1849510735080974e-07,0.14385151952164815,0.082491998559562,0.06234212845676944,0.45822938527007695,0.448794808013113,0.4405829098696724,0.0925061610135545,0.253257736400234,0.7630941852455032,0.6922263985025093,0.6211888606858216,0.0011146692946306528,0.0007770604600440447,0.0005303318711465364,0.0007991649878645429,2.9689863641579887e-08,0.010563303545044915,0.003707733486326134,0.002333835451520849,0.006883076748071534,0.00489691333023722,0.0032385863575846276,0.004837043038467615,2.7967613264821034e-08,0.04467636058990833,0.020676573371226917,0.01487672039528659,0.457687446618279,0.4482333794201464,0.4393219977623268,0.09254532060323228,0.2476012504742259,0.7537028373296428,0.6948417491246915,0.6222085331356754,0.0008097381556422219,0.0005459384064719119,0.00035054962007780954,0.0005980193450397542,6.823512664418085e-09,0.006243966532510273,0.0028247555631060613,0.0017394056912887856,0.004715318579465847,0.0031866194327544242,0.0019847688793553915,0.0034755842525606654,1.7139887252619854e-08,0.03942978046820883,0.01536006096241623,0.010420092304782988,0.4557383820604789,0.44629326155259214,0.437267821854319,0.09230274955738156,0.247153887288203,0.7576664327274781,0.6928586496913599,0.6168937013989093,0.45390512314161735,0.4449018857078719,0.43771895329321653,0.08995650564459742,0.25343947178154674,0.7528238365781287,0.6831955074907831,0.6104201960020844
14548R,tpm,7a,0.003759150847205774,0.002745437467985874,0.0020543447963436417,0.002567837261476514,5.92531486658488e-08,0.03205491597121233,0.011935236608096743,0.007792517503474938,0.02976650801564525,0.021978664721618073,0.015272519237697029,0.020074443865277417,6.623154070882019e-09,0.14405701750625255,0.08259771105004139,0.06256759532451224,0.45783867820905605,0.44850531488671097,0.4407608499803247,0.09197411474207196,0.2525963087775959,0.7574610991876938,0.6966943323640523,0.6194461899373931,0.0011071037694191737,0.0007719265742913457,0.0005312417271734511,0.000793604511179826,4.109757531992638e-08,0.011950419612283719,0.003726689991840083,0.0023133129843702985,0.006858169108694465,0.004903753679980004,0.0032788024611801027,0.0047945472538638715,1.73320295169981e-07,0.04282135450981709,0.02054367476488993,0.01480314534161542,0.45784904572137375,0.4484650010823368,0.4398726302503838,0.09222196849011749,0.24681429319809653,0.7596233617989498,0.6940802594706633,0.6220036464973698,0.0008241232760471142,0.0005516276080218826,0.00034881612590352453,0.000612279475558902,7.660494068518425e-11,0.007146092408813965,0.0029506424277956286,0.0017633026950943233,0.004657631897084446,0.0031604106758680436,0.0019678746732836624,0.0034213066580763784,3.4747754110116376e-08,0.04851137651700087,0.015023443924312692,0.010255027141002555,0.45656674185408813,0.4471404574131735,0.43902445979571464,0.09229626813471688,0.2477264789553025,0.7554758945573237,0.6909728467535754,0.6191747186079034,0.45337766938858215,0.4443069015655683,0.4366365812154313,0.0902368456974581,0.25225897412248327,0.7532023735984227,0.6817379542376457,0.6116274117847141
14548R,tpm,8a,0.003729473127807559,0.0027320975745447726,0.002052086753381778,0.002538624165607282,5.888352754258178e-08,0.031142423660809222,0.011796402546396093,0.0077191442693469526,0.029843703600336613,0.021967895665542688,0.015232504318087373,0.020200450604196313,3.457105455891168e-07,0.1359768197611717,0.08339222035800758,0.0627914066210017,0.45836727461197246,0.44884905409168496,0.4402641343977172,0.09292515846748475,0.2539529849030601,0.7632117143043299,0.6974173848860599,0.6221646081900346,0.0011085246050818785,0.0007746254158154676,0.0005273335447515626,0.0007929579214842667,8.560733946503115e-08,0.01086448944968263,0.0037349600248311582,0.0023305796005814766,0.006866153794660311,0.0048967614565304345,0.0032599568887009926,0.004813085826137544,1.1486994725376857e-07,0.04405435824575252,0.020509445996473873,0.014906685664166072,0.45737034943037286,0.4478798180568252,0.44025827136580253,0.09268929342403318,0.24753430744322188,0.7580240782262305,0.6901006818059215,0.6187417494796675,0.0008165188785840621,0.0005494600605699703,0.00035276808587777917,0.0006039840402880022,9.856708371573257e-09,0.008593053450916422,0.0028652636800264313,0.0017634047365643487,0.004663518730203529,0.0031456526100953077,0.0019449021271203861,0.003442858783563408,3.880242746270047e-08,0.04172678028792505,0.01532230944260963,0.010260562678009656,0.45486259477378216,0.44558330914340394,0.4376084218786651,0.09140839533189296,0.2463712007003071,0.7570066977614214,0.6887307111929383,0.6169224809204814,0.4536230631129958,0.4446272544436792,0.43742261590008436,0.08989153460639518,0.25220654930892394,0.7568191206274217,0.6861917997905294,0.6115347793517651
14548R,tpm,9a,0.0037564290019806395,0.002755956756454341,0.0020543559889903843,0.002552540147279751,5.2297380485310715e-09,0.03474328677012623,0.011829394185671326,0.007811951129257073,0.02976133914961726,0.021973913236166702,0.015526056889229934,0.020071981592955864,3.8087444410189846e-07,0.13689036876605795,0.08301633453800843,0.06272314216082968,0.45872289058610355,0.44910761363919666,0.4406206763410024,0.09342934078209257,0.25159988452024684,0.762263338435921,0.7023445350185817,0.6230574456308345,0.0011376509038070512,0.000797775227352129,0.0005514784476398658,0.0008110513334902171,1.9243496525323013e-08,0.012247603446218176,0.0038142288631743205,0.002384775627986246,0.0069690066107904215,0.004968669628221886,0.0033056987656492178,0.004886652767163427,2.5525997227551676e-07,0.04520785172447819,0.021324480570322327,0.014975311836802724,0.4565127776883641,0.4471367899447292,0.43972527588913346,0.09204676675836554,0.24758123358839107,0.7561457790568423,0.6930027778373767,0.6199390712080978,0.0008523699522093251,0.0005654797799506577,0.00035966443801823604,0.0006377829990649507,3.0666775138130656e-08,0.007905477457467348,0.0030207792169011758,0.0018092637728334613,0.004777648334812274,0.003266488386276669,0.0020659222074691157,0.003486542303408084,3.813061189745252e-08,0.04784946892183062,0.01543368632353578,0.010334997766064911,0.4567355678994575,0.44745561551040536,0.4395129630039881,0.0916015891382035,0.24820676596851485,0.756047243274523,0.6892658047258697,0.6187156718539395,0.45320368673232225,0.4442887129622474,0.43731413282696086,0.08944898659078569,0.2528117206969301,0.7338877340009407,0.6771407659456398,0.610343046076474
