sub,bone,run_id,orig_rmsdi,orig_di_mean,orig_di_median,orig_di_std,orig_di_min,orig_di_max,orig_di_99,orig_di_95,orig_rmsdo,orig_do_mean,orig_do_median,orig_do_std,orig_do_min,orig_do_max,orig_do_99,orig_do_95,orig_h_rmsd,orig_h_mean,orig_h_median,orig_h_std,orig_h_min,orig_h_max,orig_h_99,orig_h_95,smooth_rmsdi,smooth_di_mean,smooth_di_median,smooth_di_std,smooth_di_min,smooth_di_max,smooth_di_99,smooth_di_95,smooth_rmsdo,smooth_do_mean,smooth_do_median,smooth_do_std,smooth_do_min,smooth_do_max,smooth_do_99,smooth_do_95,smooth_h_rmsd,smooth_h_mean,smooth_h_median,smooth_h_std,smooth_h_min,smooth_h_max,smooth_h_99,smooth_h_95,remesh2d_rmsdi,remesh2d_di_mean,remesh2d_di_median,remesh2d_di_std,remesh2d_di_min,remesh2d_di_max,remesh2d_di_99,remesh2d_di_95,remesh2d_rmsdo,remesh2d_do_mean,remesh2d_do_median,remesh2d_do_std,remesh2d_do_min,remesh2d_do_max,remesh2d_do_99,remesh2d_do_95,remesh2d_h_rmsd,remesh2d_h_mean,remesh2d_h_median,remesh2d_h_std,remesh2d_h_min,remesh2d_h_max,remesh2d_h_99,remesh2d_h_95,remesh3d_h_rmsd,remesh3d_h_mean,remesh3d_h_median,remesh3d_h_std,remesh3d_h_min,remesh3d_h_max,remesh3d_h_99,remesh3d_h_95
14548R,tpm,0c,0.0037575080896301324,0.0027554001411888183,0.0020445723674043883,0.002554728381956196,6.992957414204907e-09,0.031123069976305037,0.011847059848548279,0.007914503262902708,0.029806050476704316,0.02197675682436747,0.015491790546362069,0.02013511371963077,3.512732441350726e-07,0.1441825886045081,0.08253396451422257,0.0631831052924234,0.4575796493727904,0.4482536173421738,0.4408240077033945,0.09191207787762071,0.25341008776882673,0.7617533566133606,0.6926017796174043,0.6192811814400788,0.0011400175509091474,0.0007988087440454813,0.0005533922873394192,0.0008133539246953756,3.855751126590921e-08,0.012855841517457793,0.0037792018052604575,0.002385126513109407,0.007007782170556515,0.00500019812635642,0.0033249404949899203,0.004909891001555077,6.829068558488843e-08,0.04717413215324278,0.021393513954928733,0.01517456045351383,0.4571353181239886,0.4476662096833573,0.439428691375206,0.09256167556854558,0.250160908106367,0.7596479572667014,0.6932223352468875,0.621751182304655,0.0008526328860490738,0.0005677347954957185,0.0003628158930966619,0.0006361289494715733,5.78950100896299e-09,0.00783283819549408,0.002995499668007199,0.001792685286316441,0.0048135678594916674,0.0033104412037678658,0.0020955463298736572,0.003494483448855804,8.330711373769895e-08,0.041729980150135945,0.015536564314135769,0.010515944943879413,0.456480848537269,0.44704326796757166,0.43928507379921705,0.09234219862110177,0.24552280094686094,0.7578958118442058,0.6877125538840649,0.6194619800219097,0.4542603036259933,0.4454010086538685,0.43863210198479086,0.08927690037459962,0.2506015370248143,0.7311481996809385,0.6822982179524175,0.6106323831620359
14548R,tpm,1c,0.0037644579450695805,0.0027509975418573015,0.0020507966821581196,0.002569660706181378,1.1564661862303731e-07,0.03504417181435693,0.011894967457430813,0.0078095610977583,0.03007010381319611,0.02216968908916469,0.015595321109296022,0.02031541358245416,1.089998296426287e-06,0.14704029647429653,0.08451638720139228,0.06366378976443714,0.459268395465307,0.44978332415607003,0.4409483278107975,0.09285698888286897,0.25288066726487785,0.7634971742510157,0.6947137141142374,0.623446406196223,0.0011218125228876108,0.0007875086520336277,0.0005466839703118892,0.0007989327002192645,1.1780617882030079e-08,0.009283019764542448,0.0037476631415928542,0.002357441178799327,0.007078547140862297,0.005047655301717826,0.0033553982578777243,0.004962560385572122,8.419207708619576e-08,0.04560487148385317,0.021487899984224762,0.0153684157957427,0.4568388089363731,0.44736669629890174,0.43928423889591767,0.09254586102581869,0.24818177972873964,0.7581999741080635,0.687027705214707,0.6204413512472766,0.0008548075932718558,0.0005655881090210926,0.000363321549886145,0.0006409415827118467,1.69883775791313e-08,0.009409207422312878,0.0030719014551706695,0.001783155384805547,0.004773649254453407,0.0032885751773179144,0.002085342668455105,0.003460202379583022,3.656569628188253e-08,0.0365862252654123,0.015238121557634595,0.010438559454857454,0.4565641400552114,0.4470849574946843,0.43824597005159893,0.09255190309405323,0.24750378368367854,0.7558739555820193,0.6942324807429404,0.6205198087887551,0.45347691573676296,0.44462242289113474,0.4380611197273765,0.08917518807686443,0.25117322410295156,0.7326075238774933,0.6802366223520601,0.6083591005889591
14548R,tpm,2c,0.0037178234889372838,0.002732714798061325,0.0020321082339451423,0.0025208096571043294,8.471701875155863e-08,0.028853926125249323,0.01165591813730854,0.007766841604640517,0.029825785020648827,0.021982505094078425,0.015406178158269336,0.02015804856345911,2.254823523357601e-07,0.13974894077436925,0.08348688769192905,0.06303880427726717,0.4590271653313959,0.44947520473036484,0.44106080272230164,0.09315566995504498,0.25394508855367665,0.7644523532773975,0.6951642270475766,0.6242412419328517,0.0011393989019752011,0.0007965327208106646,0.000549877594308902,0.0008147180386491107,2.7090187795310273e-08,0.010561713711140874,0.0038546101631658255,0.002365647772040517,0.007009469022739657,0.005024700783688189,0.003384624129583999,0.004887232142547574,2.271257999153861e-09,0.038617351788853886,0.020851644264246242,0.015212928024840268,0.4571216972766162,0.44771807283401505,0.4397819044306723,0.09224301262887051,0.2487548613667226,0.7590525475139042,0.6900582622442895,0.6196231382604581,0.0008586266870627153,0.0005679383053839513,0.000358548294195127,0.0006439610772507138,3.2005548516102857e-09,0.008516531279573709,0.003075580349667139,0.0018151123487703592,0.004757577176862021,0.003280930177604015,0.002092285342966087,0.003445292115842383,6.970039531994328e-09,0.0340083727865753,0.015274922826933924,0.01038202153083925,0.4569070896780149,0.4475635106839869,0.4393656225854159,0.09192927989633258,0.24827631472343803,0.7537131231929252,0.6916812462233641,0.6196578097132012,0.45319121071374985,0.44438063043049686,0.43763187250623753,0.08892766029975477,0.2511534403606862,0.733878219184066,0.6785217629345972,0.6088837480530694
14548R,tpm,3c,0.00373062972496953,0.002736930310787177,0.002044332930944159,0.002535115504019616,3.20346506438588e-09,0.0342754118827678,0.01168480068173659,0.007757038793051158,0.029867699911654753,0.02196778553719371,0.015277728879650593,0.020236004956624327,1.4724827038412377e-06,0.12853583514034636,0.08355352867474615,0.06332156258983544,0.45871004841052077,0.44922077196177396,0.44056617768661765,0.0928202916977218,0.25161078086520455,0.7601561774575225,0.6942087302812405,0.6235131928484093,0.0010982690980561377,0.0007679478650751345,0.0005354865678142863,0.0007851439920623381,4.00376508004158e-08,0.010297995504431343,0.0037526873334896185,0.0022534066000219435,0.006944437246829167,0.00498181296805097,0.0033583626425891825,0.004838052110768077,1.0786520995021684e-07,0.045139926064864715,0.02091105983986663,0.014924492344009043,0.4561998661919167,0.4469681919161546,0.438138649331777,0.09131129902003522,0.24730400390687543,0.7603925252959217,0.6881285961473198,0.6180263571557255,0.0008443689542485806,0.0005595751814565981,0.00036404040106202543,0.0006323247165789559,1.2249376729055447e-08,0.0070182970313650075,0.00307347261415539,0.0017553304085597163,0.004736384984171574,0.003261724376858008,0.0020890498174666546,0.0034343116934396328,1.9437655264029984e-08,0.03844062759359888,0.014994438880273905,0.01042269460728152,0.4570837091557538,0.44775447657358,0.4397005625752636,0.09187734151520194,0.24836992806207464,0.7561439609478635,0.6934251340151608,0.6214540232635195,0.4527605238364518,0.44372413339137684,0.43702386986015107,0.09000547422645984,0.25105579798021316,0.7502620661391602,0.6810983157035789,0.6097840399283088
14548R,tpm,4c,0.003725399655144938,0.002720525004106247,0.002020057153363597,0.002545063121532888,8.431400493769772e-08,0.03552101587230667,0.01186986319210315,0.007773340380005976,0.03002280695147364,0.022196327884168206,0.015666375401432675,0.02021613132386983,7.974698132275705e-07,0.13131218446801218,0.08305014844532835,0.06302508001006077,0.4580791997232559,0.4486028248931194,0.44006437763965867,0.09269335853777112,0.25266823611068623,0.7663778636068052,0.6936156905811648,0.6209544200952689,0.0011248031318523435,0.0007864331901736389,0.0005486107124684754,0.0008041796582966728,1.606315919353865e-08,0.010696862971175594,0.0038778969368689076,0.0023219136146980755,0.00697834987137833,0.005019805073576028,0.003420852483749257,0.004847568870131327,3.3485346165737465e-09,0.04924942417506392,0.020947772311236013,0.015051752123644917,0.45635939610558574,0.4469513363489272,0.4396447934675921,0.09218677426704458,0.24875200916521642,0.7583137642704336,0.6910351455220268,0.6182811384005764,0.000849625898860223,0.0005600595448471968,0.0003580186439140512,0.0006389033371642323,1.4329751289639802e-09,0.007929667869813896,0.003045290488682467,0.0017637868928056847,0.004745257833437226,0.0032666567633743127,0.002123075749894583,0.003441863666111458,6.89015975927376e-09,0.047033408082643065,0.015040529878767462,0.010412042545192894,0.4564211940409782,0.44693078305943407,0.4390251928817247,0.09259147651740608,0.24643516766741064,0.7571750051602879,0.6889167517060756,0.6204171804512622,0.45279163319156124,0.4437351584934784,0.4373342749498825,0.09010755908939572,0.2511868497305493,0.745227714929893,0.6835126146678062,0.6117095513236518
14548R,tpm,5c,0.0037601437124022007,0.002742790268916717,0.002036699992657623,0.0025721163034850437,7.36932511531059e-08,0.032063481498379814,0.01195962097266622,0.00786493670815317,0.02990164262306891,0.022109100478594677,0.015462002509531659,0.02013196233816108,1.0365142485997266e-07,0.1337789317878961,0.08282015550587064,0.06296912089053466,0.45693341449756025,0.4475826307998741,0.4392102405001203,0.09196702610535401,0.25195733454763913,0.7637499031434847,0.6947847262586698,0.6189406353389398,0.0011158336489853287,0.0007813048452411165,0.0005477706782871312,0.0007966476454560501,3.7994219434033496e-08,0.012911217974216299,0.0037873043570357872,0.0022909184362207443,0.00696711418531421,0.0050128927761922985,0.0033620254188469157,0.004838552064988612,5.433673156634863e-08,0.043623094755460654,0.020873962523896453,0.015018823770983784,0.45690622478756304,0.4473142111953066,0.43889546204604135,0.09313052513727027,0.2467763199793195,0.7590169222082542,0.6923573704857896,0.6222523573887716,0.0008436116154727549,0.0005543869956977874,0.0003535438216490311,0.0006358739000475902,2.9982634827606695e-09,0.00776657557026964,0.003079885567451973,0.0017697708626214401,0.004722570043311104,0.0032502083346971746,0.002098443898813481,0.0034261952067919997,4.948833194587769e-08,0.037682297575747536,0.015144313604601544,0.010304651501130056,0.4560696018033965,0.4465814135443974,0.43815912937993723,0.09254470684915765,0.24599105344458574,0.7562536007624459,0.6930203430740373,0.6183221917820854,0.4537211461135639,0.44478183252297987,0.4377481026913126,0.08962142538537249,0.2519641448377305,0.748487897376605,0.6812773306897004,0.6102580392404661
14548R,tpm,6c,0.0037480533199519216,0.002753897540917179,0.002062118050869495,0.0025424303379508618,1.4701242611248156e-08,0.030938381162633928,0.011847097741799812,0.007810232640694533,0.02959088476965499,0.021828276079391064,0.015186966995317693,0.019978659235616474,2.5098968485257113e-06,0.14049905195592138,0.08239356758590369,0.06221951572473363,0.4578356280649129,0.4484392946111377,0.440162910686674,0.09228034121230046,0.2542395347529099,0.7632845139108461,0.6920421207105951,0.6201896894131737,0.0011137002055449838,0.0007770054045529349,0.0005316764766811865,0.0007978663729763705,5.280361633030979e-09,0.011904904588118348,0.0036738818662040386,0.0023258926325751177,0.0068782040918450825,0.004879694597385399,0.0031998869177404777,0.004847501641600773,1.5876005749321428e-08,0.04628786887052206,0.020843717305484934,0.01492381530145585,0.45735666396178193,0.4478399259550192,0.43946930721795974,0.09281443201815776,0.24676622030886744,0.7584405178105406,0.6923431939892644,0.623453835349127,0.0008063936856514144,0.0005448413441209695,0.0003492109655352743,0.0005944902740961601,3.223190680341155e-10,0.006974369973931114,0.0027868331882759576,0.0017203012738419017,0.004685408307131472,0.0031646383223143835,0.001955957189079155,0.0034551577812707494,1.5597786314174948e-09,0.03832088909882082,0.015319471473439204,0.010370458772627064,0.4564270619407186,0.44713042722897645,0.43861101908813716,0.09165175349042454,0.24815176251621276,0.7548310969366986,0.6885196827423354,0.6182817473740284,0.45331597639233023,0.444141910731584,0.43709892566623076,0.09073774068285703,0.252337627328983,0.752179215745395,0.682062639569764,0.6119425640172353
14548R,tpm,7c,0.0037207624432014194,0.0027248684621618783,0.0020267310805467164,0.0025336071168698903,3.957914181630895e-08,0.036021347919851544,0.011693274588952706,0.00771342794887235,0.029633387345033745,0.021909313831115627,0.01535309451005356,0.01995293494678143,1.697830807711082e-07,0.134512760168476,0.0826998151902968,0.06243290816529011,0.45839939912635425,0.44892242703354357,0.4401005035323892,0.09272897942776767,0.25391418361616486,0.7631782538651332,0.696611442518765,0.6223873079103892,0.0011263769797666037,0.0007842848698451307,0.0005365793870770223,0.0008084691357622393,3.33215053072462e-08,0.012156096192324162,0.0037638013451943256,0.0023569419600465505,0.006918772064158029,0.004928363996029947,0.0032612813111683485,0.004855989620912435,3.841880511669959e-07,0.04512523029627539,0.020871381215249115,0.01498995678048194,0.45587719072782384,0.44653035952665104,0.4376422644237736,0.09184035630861039,0.24700169567883684,0.7587755420773434,0.6925692569136221,0.6183800146403423,0.0008096643251794199,0.0005440195273314227,0.00034915614715592405,0.0005996658013846887,5.29653584800904e-09,0.007960092962039216,0.002842570697268163,0.0017353704967242502,0.004674087486412884,0.0031673377127451772,0.001964979483356326,0.003437304997241831,6.401697680406779e-08,0.031848418386388244,0.015078928578110355,0.010418301655184073,0.4574111948946496,0.44807193796154543,0.43955536395587447,0.09195944555257007,0.246655213292231,0.7521556057920947,0.6923539091825742,0.6214088661344794,0.45392280133100277,0.44490675027719534,0.4388120288318319,0.09002162587939824,0.25379192268421774,0.7560259883410483,0.684365787922688,0.6108418315261963
14548R,tpm,8c,0.0037720547319078724,0.0027662614414514053,0.002060188404756454,0.002564409198635772,7.829618116375494e-08,0.0277283602055495,0.011880338520202127,0.007861450822789048,0.029811330635612303,0.021964942187059456,0.015239856807935248,0.020155811791762016,9.08124714028081e-07,0.14190012567951552,0.08289432160796052,0.06280894388331164,0.45706624917092714,0.44765988701351817,0.4398104839667604,0.09225064601521361,0.2520987630605169,0.7640132800094075,0.6911546294551153,0.6195732160615255,0.0010956774172908854,0.0007702040874931525,0.000526989684073071,0.0007792911306886953,5.69257928837622e-08,0.012139351167418285,0.003638731157558197,0.002310413789642952,0.006938622962497132,0.004939064227277176,0.003290239843370571,0.004873410835803132,4.9556507387681405e-08,0.042890871568005744,0.020976313248629568,0.015078737460076548,0.4565761216785445,0.44731370766031575,0.4392880444574039,0.09149973675482738,0.24803862585558084,0.757951634466941,0.6881893211503908,0.6165572070222642,0.0008121043883595656,0.0005471942468412948,0.0003527525194297517,0.0006000766566170128,3.729495937235613e-09,0.008477242209342156,0.0028201530602270895,0.0017528442784620951,0.0046686496283255795,0.003162666202247079,0.001970109241633085,0.0034342148804681126,2.315949340761881e-08,0.03957153183188417,0.015068185738800172,0.010339557789055367,0.45635165232364133,0.4469647276106128,0.43836203520877115,0.09208345590000595,0.24697619285817773,0.7571497678476063,0.6930076862076724,0.618867947311506,0.45457792976036,0.44571030085015717,0.43856279952587207,0.08934999687340289,0.252884226396266,0.7495357729485808,0.6823068294160617,0.611553633512268
14548R,tpm,9c,0.003759552547996751,0.002754270209811677,0.0020505381379254846,0.0025589511469531426,1.0927444485231958e-08,0.03179314416136321,0.01177389970417225,0.007880728880788017,0.029882537902919174,0.022040217295353572,0.015468644485536705,0.020179070669706235,1.0072238867731218e-06,0.14356605907716294,0.0833768260631376,0.06313689826876609,0.4582238676863038,0.44866289165328965,0.4397402680115706,0.09311671477615518,0.252869263807715,0.7647930365977829,0.697241073699822,0.6221595509497501,0.0011375997967036492,0.0007953963239170417,0.000548788644496385,0.0008133129688867876,4.253058921919604e-08,0.014070786218196931,0.003853814848787573,0.0023930605869271087,0.007025148749796586,0.0050377149891933605,0.003382488002491497,0.004896339719058011,1.286323645830966e-07,0.04225085745455132,0.021249133048499746,0.0150656512316781,0.45593319512821673,0.44652128248357403,0.43821841844544596,0.0921619374202217,0.24884684026718118,0.7586670826240793,0.6905064905150733,0.6195817785779714,0.0008623161581153614,0.0005699888006718727,0.0003610310021450844,0.0006470718071864029,6.661721421590485e-09,0.008704259941517524,0.0031010249349079067,0.0018087503995259857,0.004755806230032465,0.0032746444972509225,0.0021000024747545856,0.0034488253528179506,2.715108121628735e-08,0.04016397095724324,0.015150592931329433,0.010341837812482806,0.4571763751279519,0.4477116685049046,0.44021415534189406,0.09254458309208695,0.24544340423648145,0.7577938458502117,0.6890734301297747,0.6198204708483502,0.4517943932440167,0.44297125791499165,0.43659333885209684,0.08885177785468984,0.2515252897253732,0.7311051531285659,0.6804891468208873,0.6078443598710308
