sub,bone,run_id,bone_n_cells,bone_min_angle_n_nan,bone_min_angle_mean,bone_min_angle_median,bone_min_angle_std,bone_min_angle_best,bone_min_angle_worst,bone_min_angle_preferred_range_pct,bone_min_angle_acceptable_range_pct,bone_min_angle_bad_cells,bone_min_angle_95%,bone_min_angle_99%,bone_min_angle_99.9%,bone_radius_ratio_n_nan,bone_radius_ratio_mean,bone_radius_ratio_median,bone_radius_ratio_std,bone_radius_ratio_best,bone_radius_ratio_worst,bone_radius_ratio_preferred_range_pct,bone_radius_ratio_acceptable_range_pct,bone_radius_ratio_bad_cells,bone_radius_ratio_95%,bone_radius_ratio_99%,bone_radius_ratio_99.9%,bone_aspect_ratio_n_nan,bone_aspect_ratio_mean,bone_aspect_ratio_median,bone_aspect_ratio_std,bone_aspect_ratio_best,bone_aspect_ratio_worst,bone_aspect_ratio_preferred_range_pct,bone_aspect_ratio_acceptable_range_pct,bone_aspect_ratio_bad_cells,bone_aspect_ratio_95%,bone_aspect_ratio_99%,bone_aspect_ratio_99.9%,bone_scaled_jacobian_n_nan,bone_scaled_jacobian_mean,bone_scaled_jacobian_median,bone_scaled_jacobian_std,bone_scaled_jacobian_best,bone_scaled_jacobian_worst,bone_scaled_jacobian_preferred_range_pct,bone_scaled_jacobian_acceptable_range_pct,bone_scaled_jacobian_bad_cells,bone_scaled_jacobian_95%,bone_scaled_jacobian_99%,bone_scaled_jacobian_99.9%,cart_n_cells,cart_min_angle_n_nan,cart_min_angle_mean,cart_min_angle_median,cart_min_angle_std,cart_min_angle_best,cart_min_angle_worst,cart_min_angle_preferred_range_pct,cart_min_angle_acceptable_range_pct,cart_min_angle_bad_cells,cart_min_angle_95%,cart_min_angle_99%,cart_min_angle_99.9%,cart_radius_ratio_n_nan,cart_radius_ratio_mean,cart_radius_ratio_median,cart_radius_ratio_std,cart_radius_ratio_best,cart_radius_ratio_worst,cart_radius_ratio_preferred_range_pct,cart_radius_ratio_acceptable_range_pct,cart_radius_ratio_bad_cells,cart_radius_ratio_95%,cart_radius_ratio_99%,cart_radius_ratio_99.9%,cart_aspect_ratio_n_nan,cart_aspect_ratio_mean,cart_aspect_ratio_median,cart_aspect_ratio_std,cart_aspect_ratio_best,cart_aspect_ratio_worst,cart_aspect_ratio_preferred_range_pct,cart_aspect_ratio_acceptable_range_pct,cart_aspect_ratio_bad_cells,cart_aspect_ratio_95%,cart_aspect_ratio_99%,cart_aspect_ratio_99.9%,cart_scaled_jacobian_n_nan,cart_scaled_jacobian_mean,cart_scaled_jacobian_median,cart_scaled_jacobian_std,cart_scaled_jacobian_best,cart_scaled_jacobian_worst,cart_scaled_jacobian_preferred_range_pct,cart_scaled_jacobian_acceptable_range_pct,cart_scaled_jacobian_bad_cells,cart_scaled_jacobian_95%,cart_scaled_jacobian_99%,cart_scaled_jacobian_99.9%,cart_inner_n_cells,cart_inner_min_angle_n_nan,cart_inner_min_angle_mean,cart_inner_min_angle_median,cart_inner_min_angle_std,cart_inner_min_angle_best,cart_inner_min_angle_worst,cart_inner_min_angle_preferred_range_pct,cart_inner_min_angle_acceptable_range_pct,cart_inner_min_angle_bad_cells,cart_inner_min_angle_95%,cart_inner_min_angle_99%,cart_inner_min_angle_99.9%,cart_inner_radius_ratio_n_nan,cart_inner_radius_ratio_mean,cart_inner_radius_ratio_median,cart_inner_radius_ratio_std,cart_inner_radius_ratio_best,cart_inner_radius_ratio_worst,cart_inner_radius_ratio_preferred_range_pct,cart_inner_radius_ratio_acceptable_range_pct,cart_inner_radius_ratio_bad_cells,cart_inner_radius_ratio_95%,cart_inner_radius_ratio_99%,cart_inner_radius_ratio_99.9%,cart_inner_aspect_ratio_n_nan,cart_inner_aspect_ratio_mean,cart_inner_aspect_ratio_median,cart_inner_aspect_ratio_std,cart_inner_aspect_ratio_best,cart_inner_aspect_ratio_worst,cart_inner_aspect_ratio_preferred_range_pct,cart_inner_aspect_ratio_acceptable_range_pct,cart_inner_aspect_ratio_bad_cells,cart_inner_aspect_ratio_95%,cart_inner_aspect_ratio_99%,cart_inner_aspect_ratio_99.9%,cart_inner_scaled_jacobian_n_nan,cart_inner_scaled_jacobian_mean,cart_inner_scaled_jacobian_median,cart_inner_scaled_jacobian_std,cart_inner_scaled_jacobian_best,cart_inner_scaled_jacobian_worst,cart_inner_scaled_jacobian_preferred_range_pct,cart_inner_scaled_jacobian_acceptable_range_pct,cart_inner_scaled_jacobian_bad_cells,cart_inner_scaled_jacobian_95%,cart_inner_scaled_jacobian_99%,cart_inner_scaled_jacobian_99.9%
14548R,tpm,0a,115147,0,48.08065843842803,49.44653954010909,12.895300753070796,70.52912271291136,0.19643939791443357,96.26651150268786,97.30605226362823,3102,23.8692406141685,10.846922180106702,2.6563262820105895,0,1.5109140040606328,1.237292266145871,14.701922290743404,1.0008232138026631,4915.641302590397,97.45976881725099,99.0681476721061,1073,2.228720218641701,4.810835994466684,20.00571245843302,0,1.712561739908957,1.4549188325535405,2.6440552483674997,1.018023400412207,317.07602733216976,96.3203557192111,98.69384352175915,1504,2.6484841520905444,5.701711570915871,22.78813462512005,0,0.607487866266725,0.6258482763590786,0.1539885642955958,0.9936154644690617,0.0031049719610387505,90.2515914439803,98.39596342067097,1847,0.32154011587064596,0.16008813047566192,0.04122307208908186,85831,0,47.85952755818518,48.98932792894237,12.934783397238022,70.53065066368323,0.1859635395591944,96.291549673195,97.28536309724925,2330,23.68494327199624,10.573345599282774,2.6141629486174005,0,1.4731303951407708,1.242601213673219,2.3843667099274652,1.0016706598752807,327.57270187869335,97.35643299041139,99.01900245831925,842,2.238593472998779,4.949489919296122,20.979349791964072,0,1.7178042340731445,1.4616762993578563,2.639315676052669,1.018821868410567,337.576760653655,96.16921625053885,98.65549743099812,1154,2.662627383443482,5.8557885077080405,23.36365423174981,0,0.6111044010705898,0.6278201357283759,0.15190551153796913,0.9823420591684087,0.002808261886314985,91.04868870221715,98.38869406158614,1383,0.3264518130737689,0.1551755813350297,0.03879515347558744,59742,0,47.940484215047505,49.12557554965041,12.874714392330707,70.53117174036835,0.1859635395591944,96.44303839844666,97.43229218974926,1534,23.76247452349846,10.81809942266746,2.4652531234408976,0,1.4724453581340498,1.2400215915318171,2.5951919133762775,1.0018459743690986,327.57270187869335,97.36366375414282,99.04589735864216,570,2.2411608791576914,4.8746078896297735,20.616298694889796,0,1.722006627376085,1.4596298638454384,2.925025569273485,1.018821868410567,337.576760653655,96.13002577750996,98.6776472163637,790,2.667460320954102,5.77854516609833,24.63170511049153,0,0.615694566780059,0.6322062557868449,0.1496198605128181,0.9823420591684087,0.002808261886314985,91.783000234341,98.4684141809782,915,0.3339879514418434,0.15900793780613168,0.03776870618193394
14548R,tpm,1a,115147,0,48.08065843842803,49.44653954010909,12.895300753070796,70.52912271291136,0.19643939791443357,96.26651150268786,97.30605226362823,3102,23.8692406141685,10.846922180106702,2.6563262820105895,0,1.5109140040606328,1.237292266145871,14.701922290743404,1.0008232138026631,4915.641302590397,97.45976881725099,99.0681476721061,1073,2.228720218641701,4.810835994466684,20.00571245843302,0,1.712561739908957,1.4549188325535405,2.6440552483674997,1.018023400412207,317.07602733216976,96.3203557192111,98.69384352175915,1504,2.6484841520905444,5.701711570915871,22.78813462512005,0,0.607487866266725,0.6258482763590786,0.1539885642955958,0.9936154644690617,0.0031049719610387505,90.2515914439803,98.39596342067097,1847,0.32154011587064596,0.16008813047566192,0.04122307208908186,85831,0,47.85952755818518,48.98932792894237,12.934783397238022,70.53065066368323,0.1859635395591944,96.291549673195,97.28536309724925,2330,23.68494327199624,10.573345599282774,2.6141629486174005,0,1.4731303951407708,1.242601213673219,2.3843667099274652,1.0016706598752807,327.57270187869335,97.35643299041139,99.01900245831925,842,2.238593472998779,4.949489919296122,20.979349791964072,0,1.7178042340731445,1.4616762993578563,2.639315676052669,1.018821868410567,337.576760653655,96.16921625053885,98.65549743099812,1154,2.662627383443482,5.8557885077080405,23.36365423174981,0,0.6111044010705898,0.6278201357283759,0.15190551153796913,0.9823420591684087,0.002808261886314985,91.04868870221715,98.38869406158614,1383,0.3264518130737689,0.1551755813350297,0.03879515347558744,59742,0,47.940484215047505,49.12557554965041,12.874714392330707,70.53117174036835,0.1859635395591944,96.44303839844666,97.43229218974926,1534,23.76247452349846,10.81809942266746,2.4652531234408976,0,1.4724453581340498,1.2400215915318171,2.5951919133762775,1.0018459743690986,327.57270187869335,97.36366375414282,99.04589735864216,570,2.2411608791576914,4.8746078896297735,20.616298694889796,0,1.722006627376085,1.4596298638454384,2.925025569273485,1.018821868410567,337.576760653655,96.13002577750996,98.6776472163637,790,2.667460320954102,5.77854516609833,24.63170511049153,0,0.615694566780059,0.6322062557868449,0.1496198605128181,0.9823420591684087,0.002808261886314985,91.783000234341,98.4684141809782,915,0.3339879514418434,0.15900793780613168,0.03776870618193394
14548R,tpm,2a,115147,0,48.08065843842803,49.44653954010909,12.895300753070796,70.52912271291136,0.19643939791443357,96.26651150268786,97.30605226362823,3102,23.8692406141685,10.846922180106702,2.6563262820105895,0,1.5109140040606328,1.237292266145871,14.701922290743404,1.0008232138026631,4915.641302590397,97.45976881725099,99.0681476721061,1073,2.228720218641701,4.810835994466684,20.00571245843302,0,1.712561739908957,1.4549188325535405,2.6440552483674997,1.018023400412207,317.07602733216976,96.3203557192111,98.69384352175915,1504,2.6484841520905444,5.701711570915871,22.78813462512005,0,0.607487866266725,0.6258482763590786,0.1539885642955958,0.9936154644690617,0.0031049719610387505,90.2515914439803,98.39596342067097,1847,0.32154011587064596,0.16008813047566192,0.04122307208908186,85831,0,47.85952755818518,48.98932792894237,12.934783397238022,70.53065066368323,0.1859635395591944,96.291549673195,97.28536309724925,2330,23.68494327199624,10.573345599282774,2.6141629486174005,0,1.4731303951407708,1.242601213673219,2.3843667099274652,1.0016706598752807,327.57270187869335,97.35643299041139,99.01900245831925,842,2.238593472998779,4.949489919296122,20.979349791964072,0,1.7178042340731445,1.4616762993578563,2.639315676052669,1.018821868410567,337.576760653655,96.16921625053885,98.65549743099812,1154,2.662627383443482,5.8557885077080405,23.36365423174981,0,0.6111044010705898,0.6278201357283759,0.15190551153796913,0.9823420591684087,0.002808261886314985,91.04868870221715,98.38869406158614,1383,0.3264518130737689,0.1551755813350297,0.03879515347558744,59742,0,47.940484215047505,49.12557554965041,12.874714392330707,70.53117174036835,0.1859635395591944,96.44303839844666,97.43229218974926,1534,23.76247452349846,10.81809942266746,2.4652531234408976,0,1.4724453581340498,1.2400215915318171,2.5951919133762775,1.0018459743690986,327.57270187869335,97.36366375414282,99.04589735864216,570,2.2411608791576914,4.8746078896297735,20.616298694889796,0,1.722006627376085,1.4596298638454384,2.925025569273485,1.018821868410567,337.576760653655,96.13002577750996,98.6776472163637,790,2.667460320954102,5.77854516609833,24.63170511049153,0,0.615694566780059,0.6322062557868449,0.1496198605128181,0.9823420591684087,0.002808261886314985,91.783000234341,98.4684141809782,915,0.3339879514418434,0.15900793780613168,0.03776870618193394
14548R,tpm,3a,115518,0,48.11796966592045,49.51490921455152,12.836100497455234,70.5301444935619,0.18339777430691712,96.38671029623089,97.33980851469035,3073,23.947933608164295,11.178579218982229,2.8643583346233292,0,1.462105948036427,1.2368330504948744,3.1540258323867914,1.0003848209567998,793.7398988972598,97.56315033155006,99.1248117176544,1011,2.220869803346238,4.628736983522641,17.93350516107073,0,1.6976112298539277,1.4534892643741897,2.3752544401812283,1.0175244456512065,326.3918408960475,96.38930729410136,98.79066465832165,1397,2.6311191738448914,5.48852846271506,20.98511858872499,0,0.6085159027694305,0.6263233766660408,0.153660373378465,0.9885753031600814,0.002525025888101069,90.2629893176821,98.53009920531865,1698,0.32364601866588283,0.16514270975943293,0.04118126127540364,85841,0,47.82791762907674,48.924530311434346,12.888598740814746,70.53150085791962,0.03670205931185825,96.30363113197656,97.31946272760104,2301,23.888925682942745,10.697230087448924,2.7100338856583437,0,1.4888451062704047,1.2427610669079718,5.32440301094006,1.000785647114857,1366.6013034438513,97.3718852296688,99.02610640602975,836,2.2336554929663213,4.92498523697004,19.52100139745507,0,1.7389183695617474,1.4613110785838999,6.3784370956078575,1.018284243512364,1659.206174800684,96.21393040621615,98.68011789238243,1133,2.6444684469080144,5.835961200752564,22.92564477243083,0,0.6104720675800609,0.6269518959392125,0.15214075815324923,0.9919954811701129,0.0005292835756546048,90.90760825246677,98.38888176978367,1383,0.32593518731188725,0.15555965069521568,0.040099259136634646,59857,0,47.86682497442606,48.968073538663766,12.812449208081734,70.53150085791962,0.14586256932134575,96.46490803080675,97.47397965150275,1512,23.960084622248306,10.897072751923742,2.733215164490188,0,1.4704973758823632,1.2407302014647679,2.8080826701865247,1.0017313666967504,333.16478314851895,97.40715371635731,99.08448468850762,548,2.2299501701624536,4.811155964536727,19.04314291097269,0,1.7202141408053873,1.4599893927458938,3.224899046487598,1.018821868410567,392.4430913197705,96.18925104833185,98.71694204520774,768,2.6467168685733293,5.717381196431368,22.750083882244105,0,0.614978539572885,0.6308244200564801,0.14893934823781904,0.9823420591684087,0.00253000661767504,91.71859598710259,98.504769701121,895,0.3361789141827705,0.16123080819435515,0.04121903543755673
14548R,tpm,4a,115518,0,48.11796966592045,49.51490921455152,12.836100497455234,70.5301444935619,0.18339777430691712,96.38671029623089,97.33980851469035,3073,23.947933608164295,11.178579218982229,2.8643583346233292,0,1.462105948036427,1.2368330504948744,3.1540258323867914,1.0003848209567998,793.7398988972598,97.56315033155006,99.1248117176544,1011,2.220869803346238,4.628736983522641,17.93350516107073,0,1.6976112298539277,1.4534892643741897,2.3752544401812283,1.0175244456512065,326.3918408960475,96.38930729410136,98.79066465832165,1397,2.6311191738448914,5.48852846271506,20.98511858872499,0,0.6085159027694305,0.6263233766660408,0.153660373378465,0.9885753031600814,0.002525025888101069,90.2629893176821,98.53009920531865,1698,0.32364601866588283,0.16514270975943293,0.04118126127540364,85841,0,47.82791762907674,48.924530311434346,12.888598740814746,70.53150085791962,0.03670205931185825,96.30363113197656,97.31946272760104,2301,23.888925682942745,10.697230087448924,2.7100338856583437,0,1.4888451062704047,1.2427610669079718,5.32440301094006,1.000785647114857,1366.6013034438513,97.3718852296688,99.02610640602975,836,2.2336554929663213,4.92498523697004,19.52100139745507,0,1.7389183695617474,1.4613110785838999,6.3784370956078575,1.018284243512364,1659.206174800684,96.21393040621615,98.68011789238243,1133,2.6444684469080144,5.835961200752564,22.92564477243083,0,0.6104720675800609,0.6269518959392125,0.15214075815324923,0.9919954811701129,0.0005292835756546048,90.90760825246677,98.38888176978367,1383,0.32593518731188725,0.15555965069521568,0.040099259136634646,59857,0,47.86682497442606,48.968073538663766,12.812449208081734,70.53150085791962,0.14586256932134575,96.46490803080675,97.47397965150275,1512,23.960084622248306,10.897072751923742,2.733215164490188,0,1.4704973758823632,1.2407302014647679,2.8080826701865247,1.0017313666967504,333.16478314851895,97.40715371635731,99.08448468850762,548,2.2299501701624536,4.811155964536727,19.04314291097269,0,1.7202141408053873,1.4599893927458938,3.224899046487598,1.018821868410567,392.4430913197705,96.18925104833185,98.71694204520774,768,2.6467168685733293,5.717381196431368,22.750083882244105,0,0.614978539572885,0.6308244200564801,0.14893934823781904,0.9823420591684087,0.00253000661767504,91.71859598710259,98.504769701121,895,0.3361789141827705,0.16123080819435515,0.04121903543755673
14548R,tpm,5a,115518,0,48.11796966592045,49.51490921455152,12.836100497455234,70.5301444935619,0.18339777430691712,96.38671029623089,97.33980851469035,3073,23.947933608164295,11.178579218982229,2.8643583346233292,0,1.462105948036427,1.2368330504948744,3.1540258323867914,1.0003848209567998,793.7398988972598,97.56315033155006,99.1248117176544,1011,2.220869803346238,4.628736983522641,17.93350516107073,0,1.6976112298539277,1.4534892643741897,2.3752544401812283,1.0175244456512065,326.3918408960475,96.38930729410136,98.79066465832165,1397,2.6311191738448914,5.48852846271506,20.98511858872499,0,0.6085159027694305,0.6263233766660408,0.153660373378465,0.9885753031600814,0.002525025888101069,90.2629893176821,98.53009920531865,1698,0.32364601866588283,0.16514270975943293,0.04118126127540364,85841,0,47.82791762907674,48.924530311434346,12.888598740814746,70.53150085791962,0.03670205931185825,96.30363113197656,97.31946272760104,2301,23.888925682942745,10.697230087448924,2.7100338856583437,0,1.4888451062704047,1.2427610669079718,5.32440301094006,1.000785647114857,1366.6013034438513,97.3718852296688,99.02610640602975,836,2.2336554929663213,4.92498523697004,19.52100139745507,0,1.7389183695617474,1.4613110785838999,6.3784370956078575,1.018284243512364,1659.206174800684,96.21393040621615,98.68011789238243,1133,2.6444684469080144,5.835961200752564,22.92564477243083,0,0.6104720675800609,0.6269518959392125,0.15214075815324923,0.9919954811701129,0.0005292835756546048,90.90760825246677,98.38888176978367,1383,0.32593518731188725,0.15555965069521568,0.040099259136634646,59857,0,47.86682497442606,48.968073538663766,12.812449208081734,70.53150085791962,0.14586256932134575,96.46490803080675,97.47397965150275,1512,23.960084622248306,10.897072751923742,2.733215164490188,0,1.4704973758823632,1.2407302014647679,2.8080826701865247,1.0017313666967504,333.16478314851895,97.40715371635731,99.08448468850762,548,2.2299501701624536,4.811155964536727,19.04314291097269,0,1.7202141408053873,1.4599893927458938,3.224899046487598,1.018821868410567,392.4430913197705,96.18925104833185,98.71694204520774,768,2.6467168685733293,5.717381196431368,22.750083882244105,0,0.614978539572885,0.6308244200564801,0.14893934823781904,0.9823420591684087,0.00253000661767504,91.71859598710259,98.504769701121,895,0.3361789141827705,0.16123080819435515,0.04121903543755673
14548R,tpm,6a,115583,0,48.07571102841544,49.477217848366344,12.874741992653133,70.52887137855024,0.11700502798446982,96.3203931373991,97.31534914304007,3103,23.84889598880679,10.707742612436766,2.7092679970521067,0,1.4640426329923575,1.2391904651404029,2.446634577504103,1.0006176909576188,426.4481937652904,97.47281174567195,99.06906725037419,1076,2.224464253458709,4.7934245393004336,19.2798888502651,0,1.7032949918579,1.4576117294461,2.2806028695887792,1.0162762421808558,475.651795646425,96.32644939134647,98.71953487969684,1480,2.6405249659713594,5.6592053439050405,22.277047592473945,0,0.6055692306801719,0.6234917190582071,0.15457153130521695,0.9866989438681321,0.002113487544873315,89.87826929565766,98.40807039097444,1840,0.3174264686518429,0.15962844834959294,0.04027188683958505,86781,0,47.917959291442614,49.05685506719796,12.905517222395872,70.53013948047018,0.27048964981366325,96.30218596236503,97.33236537951856,2315,23.969895367759914,10.609724774596788,2.3072506449178345,0,1.4734397118770792,1.2450652532724455,2.552714394838774,1.000248726467171,500.46020035806134,97.42109447920627,99.0308938592549,841,2.2207201611745577,4.934683530905399,22.82922915551566,0,1.7154132070009673,1.4643330010196827,2.2007174924243906,1.013109921001169,197.54379228520563,96.28144409490557,98.68173909035387,1144,2.6419357269820023,5.853280800580577,26.94950868624686,0,0.609255440764625,0.6257420901587752,0.15280810462608083,0.9850398584653244,0.00488591308921143,90.74451780919786,98.33604129936276,1444,0.32376300537640024,0.1571766438559297,0.03507770069111586,60287,0,48.04327997932107,49.187715991840086,12.79933684788951,70.52829135137613,0.27048964981366325,96.50670957254466,97.50858394015293,1502,24.227103756415048,11.155460583725528,2.521378840250931,0,1.4526127945308918,1.2406869363833868,1.7482330433087077,1.000248726467171,164.053916328452,97.49199661618592,99.1125781677642,535,2.2037869098736342,4.738508457569232,21.53154504099783,0,1.700460341639175,1.4594882363628243,2.072276980244086,1.013109921001169,197.54379228520563,96.30766168494037,98.77253802644019,740,2.632665920040072,5.610181403655533,25.30206325260497,0,0.6156895674609508,0.6310948555136208,0.14895559046356865,0.9850398584653244,0.00488591308921143,91.85894139698442,98.51543450495132,895,0.3391804790162734,0.16657324420147454,0.03848690520052683
14548R,tpm,7a,115583,0,48.07571102841544,49.477217848366344,12.874741992653133,70.52887137855024,0.11700502798446982,96.3203931373991,97.31534914304007,3103,23.84889598880679,10.707742612436766,2.7092679970521067,0,1.4640426329923575,1.2391904651404029,2.446634577504103,1.0006176909576188,426.4481937652904,97.47281174567195,99.06906725037419,1076,2.224464253458709,4.7934245393004336,19.2798888502651,0,1.7032949918579,1.4576117294461,2.2806028695887792,1.0162762421808558,475.651795646425,96.32644939134647,98.71953487969684,1480,2.6405249659713594,5.6592053439050405,22.277047592473945,0,0.6055692306801719,0.6234917190582071,0.15457153130521695,0.9866989438681321,0.002113487544873315,89.87826929565766,98.40807039097444,1840,0.3174264686518429,0.15962844834959294,0.04027188683958505,86781,0,47.917959291442614,49.05685506719796,12.905517222395872,70.53013948047018,0.27048964981366325,96.30218596236503,97.33236537951856,2315,23.969895367759914,10.609724774596788,2.3072506449178345,0,1.4734397118770792,1.2450652532724455,2.552714394838774,1.000248726467171,500.46020035806134,97.42109447920627,99.0308938592549,841,2.2207201611745577,4.934683530905399,22.82922915551566,0,1.7154132070009673,1.4643330010196827,2.2007174924243906,1.013109921001169,197.54379228520563,96.28144409490557,98.68173909035387,1144,2.6419357269820023,5.853280800580577,26.94950868624686,0,0.609255440764625,0.6257420901587752,0.15280810462608083,0.9850398584653244,0.00488591308921143,90.74451780919786,98.33604129936276,1444,0.32376300537640024,0.1571766438559297,0.03507770069111586,60287,0,48.04327997932107,49.187715991840086,12.79933684788951,70.52829135137613,0.27048964981366325,96.50670957254466,97.50858394015293,1502,24.227103756415048,11.155460583725528,2.521378840250931,0,1.4526127945308918,1.2406869363833868,1.7482330433087077,1.000248726467171,164.053916328452,97.49199661618592,99.1125781677642,535,2.2037869098736342,4.738508457569232,21.53154504099783,0,1.700460341639175,1.4594882363628243,2.072276980244086,1.013109921001169,197.54379228520563,96.30766168494037,98.77253802644019,740,2.632665920040072,5.610181403655533,25.30206325260497,0,0.6156895674609508,0.6310948555136208,0.14895559046356865,0.9850398584653244,0.00488591308921143,91.85894139698442,98.51543450495132,895,0.3391804790162734,0.16657324420147454,0.03848690520052683
14548R,tpm,8a,115583,0,48.07571102841544,49.477217848366344,12.874741992653133,70.52887137855024,0.11700502798446982,96.3203931373991,97.31534914304007,3103,23.84889598880679,10.707742612436766,2.7092679970521067,0,1.4640426329923575,1.2391904651404029,2.446634577504103,1.0006176909576188,426.4481937652904,97.47281174567195,99.06906725037419,1076,2.224464253458709,4.7934245393004336,19.2798888502651,0,1.7032949918579,1.4576117294461,2.2806028695887792,1.0162762421808558,475.651795646425,96.32644939134647,98.71953487969684,1480,2.6405249659713594,5.6592053439050405,22.277047592473945,0,0.6055692306801719,0.6234917190582071,0.15457153130521695,0.9866989438681321,0.002113487544873315,89.87826929565766,98.40807039097444,1840,0.3174264686518429,0.15962844834959294,0.04027188683958505,86781,0,47.917959291442614,49.05685506719796,12.905517222395872,70.53013948047018,0.27048964981366325,96.30218596236503,97.33236537951856,2315,23.969895367759914,10.609724774596788,2.3072506449178345,0,1.4734397118770792,1.2450652532724455,2.552714394838774,1.000248726467171,500.46020035806134,97.42109447920627,99.0308938592549,841,2.2207201611745577,4.934683530905399,22.82922915551566,0,1.7154132070009673,1.4643330010196827,2.2007174924243906,1.013109921001169,197.54379228520563,96.28144409490557,98.68173909035387,1144,2.6419357269820023,5.853280800580577,26.94950868624686,0,0.609255440764625,0.6257420901587752,0.15280810462608083,0.9850398584653244,0.00488591308921143,90.74451780919786,98.33604129936276,1444,0.32376300537640024,0.1571766438559297,0.03507770069111586,60287,0,48.04327997932107,49.187715991840086,12.79933684788951,70.52829135137613,0.27048964981366325,96.50670957254466,97.50858394015293,1502,24.227103756415048,11.155460583725528,2.521378840250931,0,1.4526127945308918,1.2406869363833868,1.7482330433087077,1.000248726467171,164.053916328452,97.49199661618592,99.1125781677642,535,2.2037869098736342,4.738508457569232,21.53154504099783,0,1.700460341639175,1.4594882363628243,2.072276980244086,1.013109921001169,197.54379228520563,96.30766168494037,98.77253802644019,740,2.632665920040072,5.610181403655533,25.30206325260497,0,0.6156895674609508,0.6310948555136208,0.14895559046356865,0.9850398584653244,0.00488591308921143,91.85894139698442,98.51543450495132,895,0.3391804790162734,0.16657324420147454,0.03848690520052683
14548R,tpm,9a,115144,0,48.08106194665843,49.44733503507638,12.89611506825257,70.52912271291136,0.19643939791443357,96.26554575140693,97.30511359688738,3103,23.868065171968492,10.845574027209008,2.6562139547862573,0,1.5109521051524968,1.2372758594850761,14.702118105616583,1.0008232138026631,4915.641302590397,97.45796567776003,99.06725491558396,1074,2.2290951585090357,4.81142955322842,20.005833592453012,0,1.7126080962894041,1.4549131067935681,2.644127176520513,1.018023400412207,317.07602733216976,96.3176544153408,98.69294101299242,1505,2.648665690273313,5.702528480158956,22.78838835915794,0,0.6074809474085429,0.6258458784608858,0.15400023633342297,0.9936154644690617,0.0031049719610387505,90.2504689779754,98.39418467310499,1849,0.32145759325570755,0.16006394831784598,0.041222089532930696,85831,0,47.85952755818518,48.98932792894237,12.934783397238022,70.53065066368323,0.1859635395591944,96.291549673195,97.28536309724925,2330,23.68494327199624,10.573345599282774,2.6141629486174005,0,1.4731303951407708,1.242601213673219,2.3843667099274652,1.0016706598752807,327.57270187869335,97.35643299041139,99.01900245831925,842,2.238593472998779,4.949489919296122,20.979349791964072,0,1.7178042340731445,1.4616762993578563,2.639315676052669,1.018821868410567,337.576760653655,96.16921625053885,98.65549743099812,1154,2.662627383443482,5.8557885077080405,23.36365423174981,0,0.6111044010705898,0.6278201357283759,0.15190551153796913,0.9823420591684087,0.002808261886314985,91.04868870221715,98.38869406158614,1383,0.3264518130737689,0.1551755813350297,0.03879515347558744,59742,0,47.940484215047505,49.12557554965041,12.874714392330707,70.53117174036835,0.1859635395591944,96.44303839844666,97.43229218974926,1534,23.76247452349846,10.81809942266746,2.4652531234408976,0,1.4724453581340498,1.2400215915318171,2.5951919133762775,1.0018459743690986,327.57270187869335,97.36366375414282,99.04589735864216,570,2.2411608791576914,4.8746078896297735,20.616298694889796,0,1.7220066273760848,1.4596298638454384,2.9250255692734854,1.018821868410567,337.576760653655,96.13002577750996,98.6776472163637,790,2.667460320954102,5.77854516609833,24.63170511049153,0,0.6156945667800588,0.6322062557868449,0.1496198605128181,0.9823420591684087,0.002808261886314985,91.783000234341,98.4684141809782,915,0.3339879514418434,0.15900793780613168,0.03776870618193394
