sub,bone,run_id,orig_rmsdi,orig_di_mean,orig_di_median,orig_di_std,orig_di_min,orig_di_max,orig_di_99,orig_di_95,orig_rmsdo,orig_do_mean,orig_do_median,orig_do_std,orig_do_min,orig_do_max,orig_do_99,orig_do_95,orig_h_rmsd,orig_h_mean,orig_h_median,orig_h_std,orig_h_min,orig_h_max,orig_h_99,orig_h_95,smooth_rmsdi,smooth_di_mean,smooth_di_median,smooth_di_std,smooth_di_min,smooth_di_max,smooth_di_99,smooth_di_95,smooth_rmsdo,smooth_do_mean,smooth_do_median,smooth_do_std,smooth_do_min,smooth_do_max,smooth_do_99,smooth_do_95,smooth_h_rmsd,smooth_h_mean,smooth_h_median,smooth_h_std,smooth_h_min,smooth_h_max,smooth_h_99,smooth_h_95,remesh2d_rmsdi,remesh2d_di_mean,remesh2d_di_median,remesh2d_di_std,remesh2d_di_min,remesh2d_di_max,remesh2d_di_99,remesh2d_di_95,remesh2d_rmsdo,remesh2d_do_mean,remesh2d_do_median,remesh2d_do_std,remesh2d_do_min,remesh2d_do_max,remesh2d_do_99,remesh2d_do_95,remesh2d_h_rmsd,remesh2d_h_mean,remesh2d_h_median,remesh2d_h_std,remesh2d_h_min,remesh2d_h_max,remesh2d_h_99,remesh2d_h_95,remesh3d_h_rmsd,remesh3d_h_mean,remesh3d_h_median,remesh3d_h_std,remesh3d_h_min,remesh3d_h_max,remesh3d_h_99,remesh3d_h_95
14548R,tpm,0b,0.0037457655598886136,0.002754729583347045,0.0020659407339709626,0.002538153768446718,1.5415429522633477e-08,0.033195801943533255,0.01162677248217926,0.007809694039310459,0.030175965687352348,0.02228030774439534,0.01576667760581612,0.020351333911547503,1.3680920138904663e-07,0.13972172759036364,0.08412907613600606,0.06360220058532048,0.45750476601875056,0.4480316671671704,0.43994897776601655,0.0926187677810366,0.2524560113779693,0.7651370568009992,0.6972272293438618,0.6207209703623903,0.001136527996120668,0.0007946395021362205,0.0005478689898248956,0.0008125539659682674,6.285560805107974e-08,0.010004713501337989,0.0038336543312888463,0.0023825567027035096,0.007028285039653649,0.005035550317541331,0.0033854273915654687,0.004903062675321284,2.851702224724546e-07,0.04350183464376315,0.02104893812603597,0.01527912925445178,0.4562124811351884,0.4468474484934075,0.4382477863816561,0.09196295840421952,0.24920563055531725,0.7582827435764545,0.6894988452300893,0.6193435228325832,0.0008580220458902757,0.000566370168215918,0.0003610962679448962,0.0006445360065883109,1.652684243371183e-08,0.0072319483809821766,0.003103274081266138,0.0017896739999697204,0.004784427994451459,0.0032978304517928964,0.002094858831514776,0.0034662754572189246,5.748035423137599e-08,0.03687051749047952,0.0153756794612236,0.010490708595972672,0.45673173340405804,0.4471268352807443,0.43907174411938804,0.09317440351352747,0.24704481558040262,0.7575759916854424,0.6935454034164291,0.6233866487201818,0.4529689912638159,0.4438915872069969,0.43748896767608714,0.0902284093476769,0.2515296691069924,0.7326762986261123,0.678947148778497,0.6111752838935747
14548R,tpm,1b,0.00371356892233808,0.002725607056775145,0.0020313730244466478,0.0025222331995699253,9.114098090235186e-08,0.028412192376791573,0.011604345444606727,0.007816995791674141,0.029921526309839547,0.022114734791126175,0.015684944545493216,0.020155303069628445,1.4321415128937945e-06,0.14367241533206546,0.08350185943191153,0.06301950358225884,0.45747218377055743,0.4481808863810181,0.4397921164335919,0.09173163034922936,0.25402210759292354,0.7644204775237029,0.6932088129914976,0.6189130731380231,0.0011334688716256544,0.0007938113575086624,0.000551892302117571,0.0008090829448422385,1.1994804614362255e-09,0.013308178420851535,0.0038308927425594664,0.00236760795110363,0.007003556839731235,0.005016079640473047,0.0033591162683475947,0.004887612244008106,2.0641462941033502e-07,0.042254972244176334,0.02127897739914665,0.0150544370293524,0.45617061938479136,0.44688926254860817,0.43883758187081645,0.0915511933765224,0.2472497126192723,0.7591143698837088,0.6926182939556935,0.616976750942018,0.0008652294402856267,0.0005701774756421349,0.00036163807827029374,0.0006507838585946501,6.686329467487936e-11,0.007077988837607207,0.0031317917013842195,0.001825669157395062,0.004770593334136804,0.00329186893297376,0.002114573673169228,0.0034528480545533285,1.693709931054984e-08,0.04029468819381549,0.015377742822691255,0.010368819453641823,0.4580947945430508,0.4485904446501118,0.44020757657963205,0.09283024160291148,0.24674908122051475,0.757631725694923,0.6950604791614546,0.6220863730331136,0.4531485908189447,0.4443387655249408,0.43795180832293523,0.0889196649395794,0.25315087861102503,0.7313930268579312,0.680134165502941,0.6077658046089438
14548R,tpm,2b,0.003766419777953644,0.002755950352641503,0.002064084187479014,0.002567227219693565,7.542001669798699e-08,0.03278201543010479,0.01183590590417693,0.007806610203167679,0.029906766524915057,0.02208171303965301,0.015581958806576535,0.020169596753782618,1.7285233483621478e-09,0.14895223203817703,0.08387265337233257,0.06317690732823651,0.45778933251935416,0.44830026945628815,0.44028285657648636,0.09272508492277182,0.2521883591883905,0.7641388569053381,0.6922728699811741,0.6206453421309112,0.0011284471579720268,0.000791039520022842,0.0005517387310999889,0.0008047667153263584,6.219540979846386e-09,0.010503442566179922,0.0037790406443275323,0.002369242127182261,0.007024482632112511,0.005030306577497194,0.0033755126154725867,0.00490299622529314,6.851155158715118e-09,0.043002089624288135,0.021032897224096996,0.015182397197557628,0.45686591564661794,0.44742587568548836,0.43858017073529365,0.09239345564863645,0.24772309018399177,0.7584659806381197,0.6934273405041096,0.619843884903797,0.0008591082185389689,0.0005690417622665109,0.0003625514998786438,0.0006436290888064525,5.147525235675156e-09,0.006951833204089031,0.0030723997645889516,0.001818116030936695,0.004738526331222292,0.0032484843658990258,0.002046868528387406,0.003449779864889439,9.71183655539978e-08,0.043947506868040324,0.01514576997902654,0.01031277209243636,0.45651332863828603,0.44713806295278063,0.4388111490622053,0.09204331525560608,0.2462682000745321,0.7569095079638416,0.6931677783140899,0.6181703059992818,0.4533929014877625,0.4444375590717488,0.43735705530611463,0.08966816160621129,0.25036637755512553,0.7327335789051008,0.6819421633522886,0.6100403332835733
14548R,tpm,3b,0.003748934013958715,0.00274442118319311,0.0020400447804329964,0.0025539496099683586,1.0896097461562151e-07,0.02961655485753938,0.011858115401527657,0.007859814193099396,0.029834253933286443,0.021909933184634345,0.0151387927179489,0.020249383585696543,9.98887786147417e-07,0.13487846701651585,0.08446085211005995,0.0629268958754717,0.4580830366857671,0.44875804660034446,0.44094481376518996,0.09195805625771392,0.2527844476443718,0.7638771942355665,0.6902789663087772,0.6195715841572992,0.0011212153170026384,0.0007867738166536196,0.0005507700355697426,0.0007988183451258639,5.3826590150771705e-09,0.011094845912676255,0.003828480469085769,0.0023250511967864897,0.006955546321141521,0.005005472328937276,0.0033954011449919674,0.004829582941599471,1.5801118485282899e-07,0.04216336882825714,0.020768657630324427,0.015117859364857357,0.45710415472703064,0.44769042433553086,0.43905049197234935,0.09229026073744481,0.24870424112980702,0.7589040101571424,0.693792067090648,0.6218538796587125,0.0008497509351729832,0.0005595099837768483,0.0003552593687785083,0.0006395508032059616,1.4376911846111013e-08,0.007980830666686466,0.0030584120086381687,0.0017733649003134006,0.004717636052052294,0.003244136632256197,0.0021040787898148512,0.0034251521763093936,2.2614564407621915e-07,0.0421385543516192,0.01497975443401272,0.010405124555593956,0.4580246780172367,0.448708527780082,0.4404150341774923,0.0919089917811349,0.2474891585353583,0.7555612763649163,0.6891272572439777,0.6202950150680872,0.4543961823736363,0.44542014075588815,0.4387660249476825,0.08987095618017979,0.2511528760836037,0.7472618464455427,0.6817866676953833,0.6114693539038236
14548R,tpm,4b,0.003783201147579286,0.0027642741831371636,0.0020564878633515093,0.0025829051789577166,5.378972854581589e-08,0.02813497184228658,0.011931201258767942,0.007981543469820013,0.029816289908207654,0.022005631744371975,0.015398202545722354,0.020118730462466417,1.0174675087408841e-06,0.13329953439851971,0.08262214617628628,0.0627501518577612,0.458908499359926,0.44935152544624035,0.4413957950777364,0.09316768411802487,0.2520686326543503,0.7637003888740044,0.6969952601453959,0.6229705028578546,0.0011244474023832424,0.0007829445666891783,0.0005450854414652845,0.0008070810158951308,6.331421453157614e-08,0.01184794237909963,0.003864486089839474,0.002307348864113853,0.006916029870539326,0.004974462901120674,0.0033889461092377025,0.004804808842770574,1.2955477814952587e-07,0.0472948516063516,0.020860156950758074,0.01490406362785596,0.4563420471503335,0.4469404083790394,0.4385147041601174,0.09215386782623246,0.24657238475764293,0.7610612226269952,0.6895931247147118,0.6185332282077051,0.0008496202271071323,0.0005574544793048268,0.0003574430953846231,0.0006411700506203945,4.166420214702588e-09,0.0071107243477100636,0.00307582195980825,0.0017614620667006776,0.00472847060085797,0.003257624195096497,0.0021279685721075445,0.003427290303826047,2.1721071578981015e-07,0.03855245886693151,0.015091127744418533,0.010329549769489774,0.45468727072213283,0.44526659354243164,0.43761899196426235,0.09207700490274981,0.24581811354048824,0.7540692142587508,0.6896652067384131,0.617071774769724,0.45454141613163845,0.44547612358246713,0.43768851318768226,0.09032675294116177,0.2502680049542669,0.7499700291609471,0.68401333088603,0.6138584504683968
14548R,tpm,5b,0.0037418256928659663,0.0027372138703897477,0.0020408596393810445,0.002551258462707738,2.8217040915996756e-07,0.03200577863642953,0.01165363495301254,0.007841442329390231,0.029992891698798402,0.02210086317267111,0.015360295542043934,0.02027622744690738,3.5975032502116194e-08,0.13027864168927025,0.0837941036192077,0.06327559508135827,0.4577944980980959,0.4484431511993049,0.4404597021113711,0.0920572790784355,0.2520632304892237,0.7642141812680577,0.6942600347816923,0.6207671614696276,0.0011281524873217816,0.0007882511937033918,0.0005460018149476665,0.0008070861727693644,1.3083156247641718e-08,0.011404321895139022,0.0038763774359486004,0.002331699605446164,0.00695887284530683,0.004999271778652963,0.0033894604830631324,0.00484078433317503,2.7149617780952104e-08,0.045695845853702406,0.021180545594407588,0.01502165448020332,0.4566416509944009,0.4471244469072206,0.4389311427372069,0.09274333615308576,0.24822328867671212,0.7593066415444455,0.6927261140775285,0.6220908869107317,0.0008503549104846949,0.0005611653588604344,0.0003557818000437754,0.0006389028985694724,4.4172728198865445e-09,0.007883998019310168,0.0030405436213842645,0.0017656899229953635,0.004717896194429569,0.003249414987324569,0.0021226816139216205,0.0034205038724672543,4.0380194321416105e-08,0.033477104707688436,0.015009308014012599,0.01038265664176844,0.4555288699825815,0.446144705162057,0.4379550385792044,0.09198615897768993,0.24627895453916615,0.7557707006997095,0.6874898500496173,0.6186733125588906,0.4537298257197352,0.4446291426972952,0.4378404099791574,0.09041946810244729,0.25101200359029197,0.7488997867955632,0.6857487929190761,0.6123345298632282
14548R,tpm,6b,0.0037516037156306212,0.002750457469163338,0.0020584254641193957,0.002551374952737658,1.540653401032811e-07,0.030251258418855752,0.01178877007532175,0.007840566053060672,0.029937763977654113,0.022094168833845986,0.015333918648954722,0.020201916134942075,6.059228594051361e-07,0.13369153538200323,0.08309542136922966,0.06275389549701046,0.4593853970294794,0.4498766628471629,0.44107771768512544,0.09298349976975785,0.25389885690943353,0.7643735259112869,0.6970440657344429,0.6226613137710636,0.0011172638679887222,0.0007807589392548321,0.0005348326824182535,0.0007991833516076211,1.7925995048586332e-08,0.010261706990359672,0.0037563970124989392,0.002332453257294195,0.006972571291949386,0.004948901482629166,0.0032433415386116876,0.004911733353567513,3.946754308872185e-08,0.0386483351764663,0.02132539298039063,0.015153259403184188,0.45661012772944815,0.4471008565474582,0.43944227603384844,0.09270184906263834,0.24783948998628577,0.7570441542378787,0.6922277437615428,0.6207115712098578,0.0008177396322899347,0.0005494110269357103,0.0003513289793550887,0.00060567782665302,1.011378982080179e-08,0.007555365120552274,0.0028234235389078444,0.0017479372340891569,0.004705272315449391,0.00318390432096229,0.001965105476505938,0.003464439469451319,2.815824080686462e-09,0.03960664536668682,0.015393989777258275,0.010361765181760975,0.45622585320782294,0.44683831028891907,0.43795303674499103,0.09207363136832217,0.2457599460790345,0.7540145130530308,0.6932529353077169,0.6183819235405879,0.45410717729308236,0.44492174750700836,0.4376151721331136,0.0908733572858452,0.2516974654745685,0.7549452045929529,0.6837269520652247,0.6141617980836535
14548R,tpm,7b,0.0037404228524708033,0.002753057560063681,0.002064835644669418,0.002532081591549141,6.2036445977948e-08,0.02941005635835443,0.01171356689866338,0.007790130613608113,0.02961765614229355,0.021836797298694102,0.01523161025310598,0.020008993955191366,1.0966743289744387e-07,0.14193740862753204,0.08236112364833613,0.06254202587542713,0.4571879567812092,0.4477700308883356,0.4400879193921307,0.09231915978839826,0.25269298456243333,0.7593659309592496,0.6937291389053907,0.6211810503796164,0.001103879880298641,0.0007726680642361779,0.0005331729615444757,0.000788374817353814,2.3467240230829106e-08,0.011225055260198749,0.003662530326040551,0.002304919116193916,0.006858254737245908,0.0048920748798642255,0.0032601594355865958,0.004806585213096442,1.8868670545931276e-07,0.043365342290765,0.020814638060514694,0.014808732286714275,0.4583655410966974,0.4489014322380334,0.4404077240337954,0.09266322571284966,0.24660854691356013,0.7598742334540012,0.692344873379802,0.623586251049507,0.0008185913717487671,0.0005487351622010947,0.00034801045412977377,0.0006074385200706871,1.8160828897611903e-09,0.008292094647270171,0.0028273206312646746,0.0017539789698193251,0.004653341634742399,0.003155812083621116,0.001969794115747431,0.003419713213487064,3.894403130167516e-08,0.04386064505633022,0.01509965237324579,0.010326435846628006,0.45618768453552777,0.44671156730086176,0.43806853751685065,0.09249853599648958,0.24835577602954398,0.7573032358076169,0.6921445778688325,0.6215235739583113,0.45394108114569837,0.44490039256749087,0.43886591924299473,0.09014513766708644,0.25152056053749905,0.7535223959322979,0.6805283608224579,0.610442293547476
14548R,tpm,8b,0.003718363287986467,0.0027330499533321207,0.00205021922831271,0.0025212424504669965,4.7157314519564725e-07,0.029938868314615816,0.011643740564018687,0.007814822730687909,0.02970881414815259,0.02193301544237364,0.015310586799108648,0.02003887401263033,9.231181619640815e-07,0.13160743073625067,0.08304617927524194,0.06280485332967414,0.45836780115183123,0.44884779198560754,0.4402507907571186,0.09293385154188652,0.2516226157593198,0.7626181745524797,0.6972871331746421,0.6212737167093824,0.0011133131755613757,0.000776289312916534,0.0005279821918422719,0.0007980232637775227,3.510856779411531e-08,0.011386645540591794,0.0037305300286197946,0.002331960665692282,0.006919355635152223,0.004933722732928103,0.003262017252807054,0.0048513773714586724,6.142028696382964e-08,0.04420230408758754,0.020871887920379535,0.014910211499050254,0.45571250094286386,0.44637624053767805,0.43874123378656527,0.09177219295107168,0.24660425598477376,0.7598014107284183,0.6902590209726314,0.6178710710150981,0.0008120723619775621,0.0005479290136163875,0.0003496818826164051,0.0005993624255199766,7.888829305110288e-09,0.006622484779609668,0.002812335342765728,0.001749726919380898,0.0046518548879354565,0.0031476686181464825,0.00196037720065707,0.0034251914061472254,1.9112619484090448e-08,0.04099468417602018,0.015090396285054253,0.010355384807221342,0.4565644528144807,0.4470894710537146,0.43826391655104485,0.09253164024643576,0.24570394067235524,0.7578625061655088,0.6945950017604514,0.6209214621816719,0.4543754469113449,0.44533928226169045,0.43804848611176195,0.09016634865916852,0.2528593321943163,0.7566801942695077,0.6827740160195073,0.6131808559269845
14548R,tpm,9b,0.0037389260339369666,0.002745139867678558,0.002040651752662694,0.0025384591771650303,4.600654338865e-08,0.03231970705598734,0.011824731443755431,0.007855905947236456,0.03017517674017173,0.022277166452092906,0.015845466651197224,0.020353602780990583,1.372912945123279e-07,0.14059325942967407,0.08507440967709384,0.06317339605564735,0.45743381862060095,0.44806867976336223,0.4400672695906663,0.09208776592437481,0.2519597427900475,0.7645701842266125,0.6932283967354999,0.6182697935763593,0.0011513870374139173,0.0008019244971275198,0.000551263424060229,0.0008262016768511015,2.8545945697242912e-09,0.010002366148221796,0.003927573103734039,0.002429849838465536,0.007003692355176999,0.005006407991016733,0.003344110605288851,0.004897712285695081,8.854064832929505e-08,0.04487219470875474,0.021262271274624014,0.015151310529158829,0.4571413895636395,0.44781833725714987,0.43921309107780304,0.09185307217734641,0.24755126555608564,0.7556611390102496,0.6903880673593729,0.6193521440127263,0.0008472243732837277,0.0005607817056780701,0.00035584561069597906,0.0006350693011497243,1.0245949278829402e-08,0.007547420471564614,0.0030278869369595135,0.0017940265605294297,0.004758401746522766,0.003265611608905376,0.0020649470505845714,0.0034609490029605112,1.0403757721604598e-07,0.0448709416706375,0.015118824691530723,0.010355230121582008,0.4557334549440093,0.4462946375203106,0.43793575995903344,0.09227176423921833,0.2455448137154351,0.757116097251923,0.6882362223478452,0.6187045609154472,0.4525530060717023,0.4436696236687101,0.43646465085066277,0.08922717264488061,0.25166773533056014,0.7313733635552416,0.6730272087779349,0.6093085600095945
