case,tension_scale,compressibility_mode,poisson_ratio,mu_initial_sum,K,mu1,alpha1,D1,mu2,alpha2,D2
OGDEN_TENSION_SCALE_0.25,0.25,poisson,0.495,0.17697512176126562,17.638520468872795,1.8934374044238842,-0.4328824014472444,0.1133881950886673,-1.7164622826626186,-0.48748709956016273,0.0
OGDEN_TENSION_SCALE_4,4.0,poisson,0.495,0.27270048537228636,27.17914837543785,0.3498817410778691,6.999161880825095,0.07358582293944964,-0.07718125570558278,-4.515776863308845,0.0
